172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.164,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.165,172.20.2.228
14,10,16,8,8,8,6,13,24,31,17,78,11,14,10,10,8,12,22,10,9,1,1,20,3,105,13,0,0
19,6,7,3,11,13,14,8,4,7,14,68,10,3,0,11,14,11,8,4,7,0,2,28,10,61,21,0,0
7,12,17,10,17,17,9,6,4,15,3,59,11,7,6,8,4,7,10,8,6,0,1,19,3,93,4,1,0
14,18,4,10,24,8,13,12,16,10,10,47,11,6,7,3,4,7,10,6,0,0,2,28,4,96,12,0,2
3,11,11,14,16,14,16,16,8,15,6,55,13,8,7,4,14,3,6,3,7,0,1,20,3,118,0,1,0
16,11,3,12,6,5,8,13,5,8,9,75,15,11,10,13,0,7,0,10,4,0,0,16,10,72,19,0,2
7,8,15,7,11,6,11,11,9,5,11,82,6,11,6,0,17,14,4,6,16,0,1,20,10,72,7,0,0
10,5,11,8,11,16,8,4,11,9,11,56,10,11,10,3,4,11,11,14,4,0,1,20,0,85,8,0,2
9,12,15,8,10,8,21,15,13,11,8,82,9,10,6,7,10,11,14,3,14,0,2,25,6,93,6,0,0
9,11,13,11,15,9,8,7,14,11,3,63,11,10,7,6,11,4,4,7,4,0,1,24,10,77,6,1,0
11,9,14,17,13,4,15,11,15,19,7,94,7,7,7,7,14,11,13,10,7,0,1,25,18,98,14,0,0
23,10,7,14,17,11,12,6,14,8,10,43,16,8,4,0,3,3,7,3,8,0,2,17,7,100,28,1,0
20,8,131,9,5,12,10,9,6,11,13,66,11,7,7,0,7,7,10,10,11,0,0,112,7,79,21,0,2
6,13,9,16,12,8,8,9,6,11,7,62,10,4,17,0,7,3,11,10,3,0,2,18,7,84,4,0,0
11,5,12,4,9,10,7,15,5,9,10,88,13,11,6,11,11,11,9,6,13,0,0,16,10,76,10,0,2
7,9,16,14,10,16,13,8,14,13,11,71,6,3,10,4,10,14,3,10,9,0,2,19,7,98,5,0,0
9,14,12,16,8,5,5,12,10,14,10,69,28,4,7,4,16,7,11,14,6,0,1,34,0,96,6,1,0
18,9,11,13,10,16,9,12,8,21,7,88,9,4,15,7,14,6,11,7,10,0,1,26,14,90,15,0,0
3,4,13,4,11,6,14,8,7,15,4,60,14,10,6,0,6,3,3,10,13,0,2,24,11,70,0,1,0
19,10,15,14,16,18,9,11,11,11,3,61,8,8,11,4,7,4,6,7,10,0,1,20,4,85,19,0,2
2,17,12,14,17,15,15,11,11,4,10,102,11,11,17,17,7,4,10,18,10,0,1,19,10,116,0,0,0
21,14,12,6,10,13,16,12,13,13,10,51,8,0,11,4,3,7,8,7,3,0,1,17,8,99,24,0,2
5,13,4,16,8,8,11,11,9,4,8,69,10,4,10,4,4,7,6,14,10,0,1,17,10,74,4,0,0
