172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.164,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.165,172.20.2.228
1464,1760,1586,639,1187,775,586,1630,2493,2990,3055,14825,1121,1474,1068,1068,812,2016,3046,812,845,707,74,2511,336,19395,2972,0,0
2547,525,599,222,1142,1291,1336,639,268,599,1301,12935,969,331,0,1143,1474,1143,812,406,737,0,148,3138,1083,11600,4293,0,0
622,1217,1661,895,1594,1661,850,553,405,1404,331,11215,980,737,662,812,406,737,1068,812,662,0,74,2518,336,17680,1434,74,0
2041,1336,406,959,2703,782,1216,1181,1188,932,1068,8935,1157,662,737,331,406,737,1068,662,0,0,148,4321,411,19783,2391,0,192
222,999,960,1301,1953,1365,1587,1622,812,1439,662,10455,1278,812,737,406,1474,331,662,331,737,0,74,2253,336,21703,0,74,0
2574,1005,331,1216,331,451,884,1256,444,782,884,12365,1568,1143,1805,1399,0,737,331,1068,406,0,0,1696,1083,14270,3329,0,192
748,775,1411,737,1142,553,970,1140,885,479,970,15595,559,1143,662,0,1805,1474,406,662,1899,0,74,2299,1083,13685,1830,0,0
1281,479,999,925,1005,1993,811,479,999,850,1034,12920,1055,737,1068,331,406,1143,737,1474,0,0,74,1943,0,15400,2203,0,192
822,1181,1411,811,924,674,2073,1519,930,1005,639,15428,895,1068,737,737,1068,1143,1474,331,1474,0,148,3029,672,18250,1807,0,0
822,1142,1255,970,1411,850,811,628,924,998,222,11985,980,1068,737,662,1143,406,406,737,406,0,74,2814,1083,15400,1807,74,0
1883,857,1336,1696,1255,268,1411,970,1519,1817,737,17885,633,737,737,737,1474,1143,1399,1068,737,0,74,2916,1905,18625,2412,0,0
3626,924,737,1301,1291,1142,1181,554,1365,810,1068,8180,1614,812,406,0,331,331,737,331,812,0,148,1837,747,19780,4801,74,0
2903,674,102890,884,444,1045,960,850,662,970,1399,12550,1157,737,737,0,737,737,1068,1068,1143,0,0,133987,747,15025,4852,0,192
548,1255,886,1587,1217,811,639,885,554,1142,564,11790,940,406,1805,0,737,331,1143,1068,331,0,148,2144,747,15970,1434,0,0
1407,479,1181,406,857,895,628,1548,444,850,959,16735,1271,1143,662,1143,1143,1143,993,662,1399,0,0,1989,1083,14455,2576,0,192
696,850,1622,1474,924,1622,857,660,1336,1291,970,12930,559,331,1068,406,1068,1474,331,1399,1162,0,148,2412,747,19385,1434,0,0
822,1365,1181,1594,674,444,480,1217,924,1329,959,13150,3202,406,737,406,1730,737,1143,1474,662,0,74,4829,0,18280,1807,74,0
1844,857,1005,1290,924,1622,857,1045,674,2073,564,16740,894,406,1549,737,1474,662,1143,737,1068,0,148,3103,1494,17110,3854,0,192
296,811,1255,639,1005,518,924,819,518,1404,406,11415,1390,1068,662,0,662,331,331,1068,1266,0,74,2666,1158,13125,0,74,0
2680,526,1411,959,1587,1411,885,850,857,1005,331,11595,821,812,1143,406,737,406,662,737,1068,0,74,2687,411,18250,3552,0,192
148,1661,1217,1301,1696,1879,1376,1289,1143,405,1068,19395,1015,1143,1805,1805,737,406,1068,1880,1237,0,74,2031,1083,21480,0,0,0
3167,1336,1188,479,1068,1263,1622,1181,1255,1263,959,9700,410,0,1143,406,331,737,812,737,331,0,74,2038,822,19580,4897,0,192
474,850,406,1661,405,811,970,1005,885,406,639,13125,1351,406,1068,406,406,737,662,1474,1068,0,74,2116,1083,14830,1457,0,0
1155,885,850,1068,857,970,959,405,187,1255,1290,12365,785,1068,331,1143,812,406,1068,1068,737,0,74,2137,1083,14070,1807,74,192
770,1181,885,1217,1992,885,526,1066,1005,960,1301,11415,1306,737,331,737,406,1068,812,737,1087,0,148,2299,1158,19395,1457,0,0
896,1217,1661,1376,1336,775,1548,649,1330,29848,884,13690,1121,1088,331,737,1642,2348,737,2818,1251,0,74,2472,747,20725,1807,1450,0
2118,1080,1336,1290,1168,1336,930,1545,1005,25433,639,10080,969,1088,1068,737,575,2042,737,2982,514,0,74,3519,747,15590,3234,1272,0
222,1548,593,970,2502,849,1330,1372,1217,32697,331,9890,569,820,1068,966,169,2145,812,5192,547,0,148,2592,672,16155,0,1416,0
2828,1742,1188,2102,1587,1594,960,763,1376,12858,331,13315,1493,682,406,331,1068,1327,406,2384,1582,0,74,4741,1008,23038,3609,546,192
622,924,553,1376,1867,960,1106,2150,1068,11384,1218,15595,792,1796,737,662,1143,795,1068,3638,2007,0,74,1985,1083,18820,1457,546,0
