172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.228,172.20.2.173
991,982,1900,1900,2284,912,757,1672,1711,2090,644,7812,2063,2470,1330,1140,1330,2090,1140,1900,1900,74,1594,575,8378,400,0,0
2731,2281,570,1524,831,2847,1288,2351,1552,2351,3572,7827,2366,1900,1330,1900,1140,760,1900,570,1330,148,1926,1915,10589,1464,407,0
2522,1362,908,1404,1482,1478,1327,342,3041,2432,2921,6152,1492,1330,1330,1140,2280,760,1520,1330,2660,74,2345,575,8554,916,0,0
4662,1141,2161,1482,1021,1900,1714,2921,1552,1591,2808,8042,649,1330,570,1520,2090,1900,1330,1140,3230,148,1813,1340,9180,2177,407,0
2499,1288,342,1401,2048,834,1214,3018,3041,1936,1517,8864,769,2090,2090,1330,1140,2660,2090,1520,1730,74,2088,2490,8218,990,0,74
4641,1900,1591,1672,2281,2094,2854,2238,1330,831,1478,7641,74,1330,1900,1140,1940,1140,2090,0,760,74,1291,2105,9100,1822,407,0
1656,1140,1102,2161,908,1591,2312,2164,1330,416,951,7902,1146,1900,0,570,1140,1140,760,2660,1330,0,1848,2490,6713,400,0,74
74,1404,831,2238,764,1672,1711,342,187,1330,1404,8448,1873,3230,2660,1330,1330,1900,3230,760,570,0,1827,1340,7491,0,0,0
222,1711,1524,1900,1021,1781,792,3346,1742,1517,912,7385,2292,1900,2090,760,1140,760,1900,1520,1539,148,1478,1915,8197,0,0,0
2895,982,2090,2731,194,1672,187,2242,1141,954,1404,7600,1682,2090,1520,1900,1330,2090,760,1330,1330,74,1908,765,6974,1190,0,0
4420,951,1140,2854,1021,1707,718,1591,1552,1922,2242,8634,1026,1330,2660,1900,1140,1330,1140,3230,1140,148,2194,2105,8699,1812,407,0
2872,2312,1478,1021,342,1478,947,1672,2281,132981,2351,7230,2257,570,2090,760,1330,1140,1900,1900,1900,74,104036,1340,8122,1116,0,74
4508,2281,1517,2432,261,2847,1102,2351,2692,1021,912,8347,1989,1520,1330,1330,0,1900,1520,1330,2090,148,2046,1915,8859,2167,407,0
1955,908,1482,831,1672,2734,1784,1103,1521,3396,757,8448,3061,2470,0,760,1330,3325,1330,1900,3113,74,1975,1340,7496,600,0,11794
4387,760,1781,1672,3192,2284,2094,1694,834,9440,1227,6087,2754,2679,570,3310,1452,3550,1900,4323,3148,74,1439,1340,8608,2012,407,38302
148,2277,2242,1591,3723,1594,1974,2116,1330,9305,2595,9847,2299,1405,2660,5079,1675,2310,1900,4873,2388,0,1393,765,9591,0,0,26436
843,834,2161,908,1862,912,2471,1442,2090,5693,2882,5976,2828,2419,1330,942,1594,2670,1520,4253,814,0,1700,765,8789,400,0,17631
480,1141,2928,2471,1594,1021,982,1826,908,3676,1714,8373,187,2660,1900,1140,1675,1655,1900,2999,1539,74,1785,1340,7595,197,0,8802
2724,2882,1478,570,3959,1672,2847,3505,1141,8057,644,6964,2828,1644,1900,1520,1330,1650,570,3891,2335,74,1862,0,9852,1000,0,8863
4239,3041,570,194,2921,757,1478,1771,1552,6203,1990,6759,2176,1330,1330,2653,3368,1872,760,2645,814,148,1813,1915,7716,1896,407,35788
3020,1289,908,834,1102,1552,1327,1852,5911,5204,2351,5239,917,2090,1520,1524,0,1980,2046,3377,814,74,3614,575,7044,1232,0,17731
4231,1258,4418,912,1021,1330,194,1771,3744,3836,467,6648,1414,570,1330,3365,1712,2850,4102,4739,2388,74,1859,2105,7346,2199,407,7174
1955,1986,1672,1591,1861,1732,1693,1293,1271,8051,3191,9627,381,2397,1900,1140,3005,5988,4254,1456,2353,74,2169,1915,6889,600,0,23982
3365,1798,831,912,3187,132081,133345,2986,3887,4737,4802,6563,1414,898,1140,5052,3004,2558,6139,5196,1302,0,204755,575,6087,1696,407,17612
148,2090,2812,1401,908,1401,1552,2728,3168,3211,3507,8047,956,2090,1900,3567,1330,895,3328,2807,2388,74,1841,1915,9692,0,0,8803
7375,2505,1591,1478,4331,1672,1711,2804,2689,2375,3541,6462,2828,570,760,4707,0,2230,4994,2682,2578,0,1862,1530,9932,3773,0,8743
