172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.228,172.20.2.173
7,7,10,10,13,7,5,11,11,11,4,73,12,13,7,6,7,11,6,10,10,1,18,3,79,4,0,0
13,14,3,9,6,16,8,14,10,14,21,73,14,10,7,10,6,4,10,3,7,2,21,10,100,11,2,0
12,9,6,8,10,9,8,4,18,15,17,58,10,7,7,6,12,4,8,7,14,1,27,3,80,9,0,0
19,8,13,10,7,10,10,17,10,10,16,76,4,7,3,8,11,10,7,6,17,2,20,7,87,19,2,0
12,8,4,9,12,5,7,15,18,13,9,84,5,11,11,7,6,14,11,8,11,1,23,13,77,10,0,1
20,10,10,11,14,12,16,13,7,6,9,72,1,7,10,6,10,6,11,0,4,1,14,11,86,16,2,0
7,6,8,13,6,10,14,12,7,5,7,74,8,10,0,3,6,6,4,14,7,0,21,13,64,4,0,1
1,8,6,13,5,11,11,4,2,7,8,80,11,17,14,7,7,10,17,4,3,0,20,7,70,0,0,0
3,11,9,10,7,11,6,18,11,9,7,70,13,10,11,4,6,4,10,8,9,2,16,10,78,0,0,0
14,7,11,16,2,11,2,14,8,6,8,73,11,11,8,10,7,11,4,7,7,1,21,4,66,12,0,0
20,7,6,16,7,10,5,10,10,13,14,81,7,7,14,10,6,7,6,17,6,2,24,11,82,16,2,0
14,14,9,7,4,9,6,11,14,130,14,68,14,3,11,4,7,6,10,10,10,1,118,7,77,11,0,1
20,14,9,15,3,16,8,14,16,7,7,80,11,8,7,7,0,10,8,7,11,2,22,10,84,19,2,0
8,6,10,6,11,15,10,5,10,24,5,80,18,14,0,4,7,17,7,10,18,1,22,7,70,6,0,10
