172.20.0.0,172.20.1.188,172.20.1.193,172.20.1.194,172.20.1.198,172.20.1.199,172.20.1.202,172.20.1.203,172.20.1.204,172.20.1.205,172.20.1.206,172.20.1.207,172.20.1.208,172.20.1.209,172.20.1.210,172.20.1.212,172.20.1.213,172.20.1.214,172.20.1.215,172.20.1.216,172.20.1.217,172.20.1.218,172.20.1.219,172.20.1.220,172.20.1.221,172.20.1.222,172.20.2.203,172.20.2.209,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.221,172.20.2.222,172.20.2.223,172.20.2.224,172.20.2.225,172.20.2.226,172.20.2.229,172.20.2.230,172.20.2.231,172.20.2.232,172.20.2.233,172.20.2.234,172.20.2.235,172.20.2.236,172.20.2.237,172.20.2.238,172.20.1.187,172.20.1.192,172.20.1.195,172.20.1.196,172.20.1.201,172.20.1.211,172.20.2.199,172.20.2.207,172.20.2.239,172.20.2.228,172.20.2.240
4264,0,0,0,0,0,1404,1974,1974,1404,1974,1214,2734,2734,16069,3304,2164,2734,2176,74,2048,2734,2734,2734,1478,1974,760,760,148,1935,765,1140,1330,1330,2090,1900,22306,1710,2660,2090,3230,760,1900,570,2090,1520,2660,760,570,760,570,760,2167,0,0,0,0,0
2448,0,0,0,0,0,954,954,3041,2851,2094,2094,2284,1524,15748,954,2851,1711,917,2281,3041,2471,1901,1141,2281,2091,0,0,74,3745,1915,1520,2660,1900,1330,1900,17543,2660,760,0,1900,760,1900,1900,1900,1900,760,0,0,0,0,0,916,0,0,2660,0,0
2465,0,0,0,0,0,792,1552,2122,3642,792,1552,1362,982,13853,792,2122,1552,1026,1362,982,3642,982,792,1362,222,0,0,74,4183,0,2470,2090,2090,1330,1710,13783,1330,570,1330,1520,2090,1520,1330,760,1140,3230,0,0,0,0,0,1612,0,0,1140,0,0
866,0,0,0,0,0,2847,1517,757,757,2277,2087,947,2657,14680,1517,1517,187,1150,947,1517,947,1707,947,757,1517,0,0,0,2108,1915,1330,1900,1330,1330,1900,13276,1140,2660,570,1900,760,1900,760,1900,1520,1928,0,0,0,0,0,400,0,0,1520,0,0
2062,0,0,0,0,0,2048,2808,2238,1288,2238,1288,1288,2048,16992,2048,2048,2238,2063,4138,2048,2808,1478,908,2048,2618,0,0,74,2960,1340,2470,760,1520,1900,1900,21675,2660,2660,3230,1900,2470,570,1710,1900,1900,1492,0,0,0,0,0,713,0,0,760,407,0
1955,0,0,0,0,0,187,2277,1707,2847,1707,2847,1327,2087,15011,1327,1517,947,1915,1327,1517,1517,2087,757,2277,1707,0,0,74,2108,1915,1900,2660,1900,2470,1330,16816,1330,760,2090,760,1900,570,2660,1900,1520,1330,0,0,0,0,0,674,0,0,760,0,0
2913,0,0,0,0,0,1102,1102,1714,342,1672,3002,342,2812,13868,1862,1978,764,3022,2284,1524,2284,268,194,764,1334,0,0,74,3908,1915,1900,2090,0,1330,1900,12880,1330,1330,2660,1330,1140,1900,2090,1330,0,1330,0,0,0,0,0,1032,0,0,1330,407,0
4420,0,0,0,0,0,1974,1974,1552,2734,1594,2164,1214,2544,18621,1404,1288,834,2176,834,1404,2692,1478,1974,1404,2122,0,0,148,1815,1340,760,1900,2660,1900,570,16997,2470,3230,3230,3420,2090,1900,2660,1900,760,570,0,0,0,0,0,2096,0,0,1330,0,0
2300,0,0,0,0,0,1521,2471,2094,1524,1711,2281,1141,2281,14680,2281,3402,2072,1107,954,1141,2284,764,2094,3041,954,0,0,74,2767,2105,2090,1330,2660,1330,1330,15813,1140,570,2090,760,1520,2470,1900,760,1140,570,0,0,0,0,0,800,0,0,3460,0,0
2575,0,0,0,0,0,1404,1214,2882,982,2734,644,3304,1974,17152,1784,1552,3452,261,1552,2882,1362,1742,2882,2882,2882,0,0,74,3147,2490,760,3230,1710,760,2090,18200,760,2660,2470,2090,3230,570,1520,570,1900,2090,0,0,0,0,0,1767,0,0,760,0,0
