index,172.20.1.203,172.20.2.221,172.20.1.202,172.20.2.233,172.20.1.213,172.20.2.231,172.20.1.214,172.20.1.204,172.20.1.205,172.20.2.222,172.20.1.217,172.20.1.216,172.20.2.236,172.20.2.232,172.20.1.206,172.20.2.223,172.20.2.237,172.20.1.218,172.20.2.234,172.20.1.222,172.20.2.224,172.20.1.207,172.20.2.238,172.20.1.221,172.20.1.220,172.20.2.235,172.20.1.208,172.20.1.209,172.20.2.229,172.20.2.225,172.20.2.239,172.20.1.219,172.20.2.230,172.20.1.212,label,target
1,8805,8930,8045,6840,10702,7220,8422,10132,9942,8740,9636,8802,8550,10450,9375,8170,7980,12602,7790,8422,7980,8235,10070,7926,6522,6270,8615,9945,9500,9310,6080,8802,9310,8615,0,
2,9038,7410,6188,9880,9737,12540,8069,9949,8429,11210,8468,6951,6460,8360,9418,8930,5320,10139,7410,8999,7790,10938,5890,10368,7901,10830,7328,11698,7030,7220,7640,6339,8550,8658,0,
3,12160,7030,11390,5700,9230,7220,9229,11582,8162,7790,12360,9318,7790,7220,11389,8740,7790,5502,15064,8352,7220,3979,10260,8892,8579,8930,7773,9294,8930,5700,10026,10822,7600,8539,0,
4,8774,12461,8082,6460,11675,7058,10785,7634,6111,6460,11847,12325,13248,18061,6497,5890,6650,30150,30342,9724,7220,10867,15721,22611,21985,15410,23417,15781,19012,12362,6852,5541,10260,13426,0,
5,9190,7034,8809,15779,11508,17916,11068,52227,9991,8930,11643,13313,10772,18416,10709,11687,7980,57298,32106,12458,10930,7859,25677,15756,13350,20657,12738,10991,19587,17499,10378,8848,11938,9915,0,
6,11073,12137,10235,12891,9893,13227,10368,11012,42343,5510,15200,15586,17686,26714,10780,10926,9310,32620,37492,52595,7220,8880,26385,18526,14490,12537,18038,17467,12643,10579,11957,6716,11680,9930,0,
7,10769,6982,10200,6873,12655,6298,12568,9527,10899,5700,10524,8967,11479,11176,9991,4940,8360,31908,26011,29961,8550,8851,19159,15660,16877,19593,15525,17051,20709,15255,12208,11163,10512,9798,0,
8,15927,9484,14419,6925,14521,8026,22970,5241,9038,30598,17170,29174,12997,11064,7518,7030,60264,32125,23238,24715,7220,9355,14460,19009,19150,16835,19123,12427,11308,12188,10895,7521,6423,15949,0,
9,10561,9678,7716,17400,11768,10974,13553,6709,41628,11768,15336,16908,25143,19894,8612,5890,25603,33006,31228,30652,12796,7107,23096,22020,22148,18849,15288,20343,20873,17802,15212,6329,13350,8328,0,
10,9499,10041,10813,7046,10276,9866,11153,33406,6001,5320,15502,14736,15190,20603,6529,14119,22919,30767,19689,46204,13366,8429,20254,20277,19866,19598,17906,19398,15902,9714,9213,7521,13681,7479,0,
11,10996,8555,12164,7143,16331,8099,13208,8929,20254,17703,16472,15521,19895,21792,11218,8379,29238,29729,28016,57508,7410,11206,27497,27346,25512,27336,14322,17140,19874,20170,17096,8549,9715,10169,0,
12,9099,10677,9547,12377,14330,11891,13516,7740,22060,10365,13627,16136,15907,18761,6072,13931,20948,22718,30741,78005,14506,7985,27476,20869,19984,25029,20830,21578,15380,22299,12499,9830,6853,7675,0,
13,7091,11477,11413,9635,12986,10566,13976,11927,14731,14557,18329,19380,22167,19372,7608,7806,27222,20671,34297,72038,10669,7415,26231,18126,21800,27248,19093,15371,21195,16081,16029,7782,13420,11888,0,
14,12406,13302,13092,9724,15962,13603,15299,9058,8422,4750,13253,13015,19211,19106,8232,7220,28153,30981,40718,67882,4750,7852,31162,29270,24166,31261,19707,22367,20759,21295,17282,9224,6527,10592,0,
15,9509,8706,11037,9399,13335,18262,15896,17267,23220,12962,16853,17279,19420,21572,10248,11244,25502,38494,45732,64919,12176,8740,26826,25139,24299,33151,17877,16960,20801,18675,16478,8348,11288,8295,0,
16,10712,12868,5156,10600,13157,11375,15879,15015,11384,7410,18398,13165,18655,12789,9232,7054,29857,48446,39411,73354,7041,9422,39287,28057,29391,36171,27199,26707,27653,30637,22894,9193,8784,11330,0,
17,11336,13246,9202,14792,10359,15174,14482,12853,9678,15019,14613,14865,28527,29763,9125,7804,23423,58721,36960,84393,10462,6269,32315,21247,21516,33305,21687,26238,25318,21981,16892,7588,11483,9204,0,
18,11822,9218,8875,19985,14135,14976,15570,11735,22375,7410,17238,14348,22303,21185,7665,8565,22135,69420,40843,76027,7052,8499,43692,26516,25306,40340,24259,29501,32277,35718,21413,7282,11479,11030,0,
19,10194,13386,10915,11373,22264,14510,12830,10065,15288,26958,17967,20402,32636,33098,13501,7806,25617,74247,46002,91770,9509,9388,45819,32311,33816,40582,25171,22459,34091,23899,22618,6835,11829,14909,0,
