172.20.0.0,172.20.1.188,172.20.1.193,172.20.1.194,172.20.1.198,172.20.1.199,172.20.1.202,172.20.1.203,172.20.1.204,172.20.1.205,172.20.1.206,172.20.1.207,172.20.1.208,172.20.1.209,172.20.1.210,172.20.1.212,172.20.1.213,172.20.1.214,172.20.1.215,172.20.1.216,172.20.1.217,172.20.1.218,172.20.1.219,172.20.1.220,172.20.1.221,172.20.1.222,172.20.2.203,172.20.2.209,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.221,172.20.2.222,172.20.2.223,172.20.2.224,172.20.2.225,172.20.2.226,172.20.2.229,172.20.2.230,172.20.2.231,172.20.2.232,172.20.2.233,172.20.2.234,172.20.2.235,172.20.2.236,172.20.2.237,172.20.2.238,172.20.1.187,172.20.1.192,172.20.1.195,172.20.1.196,172.20.1.201,172.20.1.211,172.20.2.199,172.20.2.207,172.20.2.239,172.20.2.228,172.20.2.240
16,0,0,0,0,0,8,11,11,8,11,7,15,15,152,18,12,15,13,1,12,15,15,15,9,11,4,4,2,25,4,6,7,7,11,10,211,9,14,11,17,4,10,3,11,8,14,4,3,4,3,4,20,0,0,0,0,0
11,0,0,0,0,0,6,6,18,17,12,12,13,9,149,6,17,11,7,14,18,15,12,8,14,13,0,0,1,33,10,8,14,10,7,10,166,14,4,0,10,4,10,10,10,10,4,0,0,0,0,0,9,0,0,14,0,0
11,0,0,0,0,0,6,10,13,21,6,10,9,7,131,6,13,10,7,9,7,21,7,6,9,3,0,0,1,56,0,13,11,11,7,9,130,7,3,7,8,11,8,7,4,6,17,0,0,0,0,0,13,0,0,6,0,0
5,0,0,0,0,0,16,9,5,5,13,12,6,15,139,9,9,2,6,6,9,6,10,6,5,9,0,0,0,19,10,7,10,7,7,10,126,6,14,3,10,4,10,4,10,8,10,0,0,0,0,0,4,0,0,8,0,0
10,0,0,0,0,0,12,16,13,8,13,8,8,12,160,12,12,13,12,23,12,16,9,6,12,15,0,0,1,40,7,13,4,8,10,10,204,14,14,17,10,13,3,9,10,10,8,0,0,0,0,0,7,0,0,4,2,0
8,0,0,0,0,0,2,13,10,16,10,16,8,12,142,8,9,6,10,8,9,9,12,5,13,10,0,0,1,19,10,10,14,10,13,7,159,7,4,11,4,10,3,14,10,8,7,0,0,0,0,0,7,0,0,4,0,0
16,0,0,0,0,0,8,8,10,4,11,18,4,17,131,12,12,5,18,13,9,13,3,2,5,8,0,0,1,41,10,10,11,0,7,10,122,7,7,14,7,6,10,11,7,0,7,0,0,0,0,0,10,0,0,7,2,0
19,0,0,0,0,0,11,11,10,15,9,12,7,14,176,8,8,5,13,5,8,16,9,11,8,13,0,0,2,24,7,4,10,14,10,3,160,13,17,17,18,11,10,14,10,4,3,0,0,0,0,0,18,0,0,7,0,0
9,0,0,0,0,0,10,15,12,9,11,14,8,14,139,14,18,11,8,6,8,13,5,12,18,6,0,0,1,24,11,11,7,14,7,7,150,6,3,11,4,8,13,10,4,6,3,0,0,0,0,0,8,0,0,22,0,0
10,0,0,0,0,0,8,7,17,7,15,4,18,11,162,10,10,20,3,10,17,9,11,17,17,17,0,0,1,42,13,4,17,9,4,11,172,4,14,13,11,17,3,8,3,10,11,0,0,0,0,0,15,0,0,4,0,0
4,0,0,0,0,0,14,12,18,15,14,4,11,18,148,14,10,18,14,7,11,11,18,7,14,12,0,0,1,40,7,4,3,3,0,17,154,6,8,13,3,10,10,10,10,7,14,0,0,0,0,0,2,0,0,11,0,0
15,0,0,0,0,0,12,15,9,16,9,9,13,10,124,8,13,8,6,6,12,2,12,5,9,2,0,0,0,38,4,0,8,13,11,0,141,11,10,7,14,4,4,11,3,8,6,0,0,0,0,0,17,0,0,10,2,0
8,0,0,0,0,0,16,16,16,5,16,6,9,6,164,5,12,2,10,2,9,2,15,9,9,8,0,0,1,20,21,20,10,3,11,4,131,9,11,7,4,8,6,10,9,6,14,0,0,0,0,0,6,0,0,11,0,0
13,0,0,0,0,0,17,15,14,7,15,4,7,8,112,12,8,19,5,30,26,14,8,14,14,15,0,0,1,53,0,10,7,14,3,6,140,8,3,8,7,4,29,6,10,10,3,0,0,0,0,0,9,0,0,14,2,0
19,0,0,0,0,0,10,16,11,7,14,6,9,15,159,14,12,8,9,9,12,7,11,18,9,14,0,0,2,32,13,3,13,13,13,3,143,13,8,3,10,4,19,10,9,10,17,0,0,0,0,0,18,0,0,10,0,0
10,0,0,0,0,0,11,12,9,4,2,9,24,6,139,10,18,13,15,16,16,16,7,20,33,17,0,0,1,25,14,4,7,4,10,11,155,24,11,7,17,7,26,11,11,8,7,0,0,0,0,0,8,0,0,8,2,0
8,0,0,0,0,0,5,11,8,7,4,11,11,5,137,5,18,17,11,15,15,7,5,14,21,8,0,0,1,31,3,10,17,8,7,0,150,18,18,6,14,3,12,8,7,0,14,0,0,0,0,0,12,0,0,2,0,0
1,0,0,0,0,0,15,13,15,14,9,13,21,18,133,12,5,11,15,13,12,18,7,22,22,18,0,0,1,33,10,14,0,11,7,8,171,11,14,4,4,0,25,15,7,10,26,0,0,0,0,0,0,0,0,8,0,0
17,0,0,0,0,0,5,12,5,9,16,13,12,13,112,12,12,11,13,12,18,16,9,28,14,12,0,0,0,39,7,7,3,4,4,13,165,11,4,13,10,10,24,4,7,11,0,0,0,0,0,0,21,0,0,15,0,0
25,0,0,0,0,0,12,5,9,5,8,16,8,13,133,17,17,13,8,18,10,54,8,16,13,2,0,0,1,38,8,20,7,4,10,7,143,10,7,7,30,14,28,3,18,6,16,0,0,0,0,0,28,0,0,12,0,10
11,0,0,0,0,0,12,9,16,16,16,2,13,6,124,10,13,9,6,9,9,16,8,22,24,14,0,0,0,38,4,0,10,10,7,2,158,19,7,10,8,10,15,10,13,11,10,0,0,0,0,0,8,0,0,5,2,12
9,0,0,0,0,0,13,16,93,11,13,11,8,8,111,17,13,21,5,15,18,61,17,10,16,10,0,0,2,34,10,8,6,14,18,8,159,7,24,26,26,11,42,27,15,4,26,0,0,0,0,0,6,0,0,10,0,21
6,0,0,0,0,0,12,11,16,8,14,14,15,11,156,11,11,15,15,11,14,35,9,10,10,16,0,0,1,36,14,10,14,10,7,18,139,21,14,4,13,8,20,6,13,6,24,0,0,0,0,0,4,0,0,21,2,15
13,0,0,0,0,0,6,7,1,11,12,11,16,17,122,8,11,7,10,16,8,29,1,17,21,15,0,0,1,23,4,8,14,11,7,7,138,4,3,9,12,16,18,20,10,7,13,0,0,0,0,0,15,0,0,9,0,16
7,0,0,0,0,0,11,13,8,12,8,10,8,9,147,13,19,15,7,23,16,37,18,19,19,17,0,0,1,30,4,12,3,4,7,17,171,12,3,6,20,19,21,19,8,14,26,0,0,0,0,0,7,0,0,22,0,28
15,0,0,0,0,0,13,15,7,3,13,17,11,15,144,11,11,8,13,19,9,36,7,18,27,9,0,0,1,58,11,0,7,10,8,7,147,15,4,6,12,12,15,22,17,10,24,0,0,0,0,0,15,0,0,15,0,30
8,0,0,0,0,0,6,11,12,12,16,6,18,15,114,6,10,11,13,8,8,42,12,10,7,51,0,0,1,21,10,13,11,10,3,11,151,4,5,6,26,11,14,11,18,10,17,0,0,0,0,0,6,0,0,12,0,39
13,0,0,0,0,0,12,11,18,17,7,18,10,16,137,16,14,18,6,22,20,35,8,14,24,40,0,0,0,38,4,15,4,4,14,7,159,9,7,9,23,16,25,6,21,14,21,0,0,0,0,0,11,0,0,10,2,32
18,0,0,0,0,0,12,12,12,10,12,6,16,13,123,14,13,9,14,12,18,22,6,26,26,44,0,0,2,19,8,14,3,7,7,11,157,9,4,12,20,4,30,16,18,4,9,0,0,0,0,0,19,0,0,19,0,25
7,0,0,0,0,0,16,15,16,72,17,8,21,14,161,14,15,18,11,28,32,38,10,16,21,17,0,0,1,42,13,12,4,14,6,0,165,16,21,17,24,6,56,17,12,11,43,0,0,0,0,0,4,0,0,20,2,28
12,0,0,0,0,0,9,14,13,11,10,5,8,13,122,14,9,14,17,11,13,28,19,12,13,37,0,0,1,24,6,8,7,3,6,16,171,22,6,9,7,2,12,23,15,3,23,0,0,0,0,0,11,0,0,14,0,28
8,0,0,0,0,0,18,10,8,10,12,15,15,15,146,14,12,21,7,4,16,27,12,19,19,37,0,0,2,26,6,15,10,8,14,17,154,17,9,8,13,15,23,18,9,3,23,0,0,0,0,0,6,0,0,17,0,29
20,0,0,0,0,0,11,17,17,10,11,15,7,8,144,11,20,15,14,15,8,46,17,15,29,19,0,0,1,44,10,8,3,8,8,10,189,13,14,5,16,16,15,21,14,17,22,0,0,0,0,0,17,0,0,12,2,29
8,0,0,0,0,0,13,13,7,18,15,15,18,17,113,11,17,9,18,6,10,32,10,23,9,30,0,0,1,40,11,4,7,3,3,5,155,13,13,6,5,2,22,17,14,14,15,0,0,0,0,0,7,0,0,13,0,29
20,0,0,0,0,0,11,9,13,15,10,2,13,16,108,8,14,14,7,16,14,35,8,25,18,45,0,0,0,37,14,4,3,4,14,12,153,10,14,6,14,2,24,26,8,7,20,0,0,0,0,0,20,0,0,23,2,57
8,0,0,0,0,0,9,5,6,12,5,18,10,11,125,27,13,18,6,39,11,43,9,12,11,21,0,0,1,21,14,7,61,3,10,5,133,10,9,5,11,9,23,23,7,7,19,0,0,0,0,0,6,0,0,15,0,35
10,0,0,0,0,0,21,14,12,11,8,4,20,15,110,16,24,30,10,22,24,43,11,17,28,23,0,0,2,52,3,12,7,10,7,4,141,14,0,8,22,0,20,12,25,65,6,0,0,0,0,0,5,0,0,23,2,40
11,0,0,0,0,0,10,31,9,15,10,10,14,10,123,6,13,15,13,21,24,21,9,7,15,18,0,0,1,32,7,10,14,3,7,11,169,6,7,9,6,11,18,17,9,29,8,0,0,0,0,0,11,0,0,7,0,16
10,0,0,0,0,0,13,10,5,8,12,5,5,11,117,13,9,10,19,17,21,31,9,30,14,21,0,0,2,22,7,7,0,11,3,2,128,6,7,11,11,11,21,14,19,21,24,0,0,0,0,0,7,0,0,17,2,28
16,0,0,0,0,0,11,13,1,8,11,7,28,5,125,8,15,18,11,20,17,28,7,26,33,23,0,0,1,31,11,12,7,10,11,15,148,10,11,10,8,6,15,18,8,33,21,0,0,0,0,0,15,0,0,13,0,22
8,0,0,0,0,0,14,15,8,14,9,12,16,13,155,13,14,14,15,21,24,31,14,34,34,35,0,0,1,34,7,10,7,4,11,15,148,16,11,12,14,15,18,19,18,36,29,0,0,0,0,0,6,0,0,24,0,29
17,0,0,0,0,0,4,16,2,15,8,2,17,20,118,6,14,13,16,20,7,32,2,15,18,27,0,0,0,38,7,8,0,7,4,7,132,13,10,13,14,11,20,17,12,11,17,0,0,0,0,0,23,0,0,18,0,28
1,0,0,0,0,0,16,13,17,13,16,10,5,14,135,8,21,19,8,16,19,42,6,25,21,18,0,0,0,38,7,7,14,7,7,10,153,7,8,9,11,10,29,14,10,21,28,0,0,0,0,0,0,0,0,21,0,38
13,0,0,0,0,0,8,9,6,13,9,5,9,14,131,13,15,24,11,17,15,36,9,28,28,28,0,0,1,37,6,11,10,3,11,6,137,18,11,7,13,13,37,30,12,15,20,0,0,0,0,0,10,0,0,24,2,50
2,0,0,0,0,0,9,13,10,73,10,15,13,12,143,11,9,13,15,23,27,26,10,23,23,55,0,0,1,35,8,16,30,10,14,15,153,15,19,14,30,20,23,22,37,18,26,0,0,0,0,0,0,0,0,11,0,59
9,0,0,0,0,0,15,9,61,6,15,11,11,11,120,11,19,14,15,11,13,35,9,19,24,62,0,0,2,37,11,13,0,25,14,3,157,16,16,11,41,13,16,19,37,16,16,0,0,0,0,0,6,0,0,16,2,67
14,0,0,0,0,0,11,10,14,4,5,11,12,14,116,4,12,12,14,22,25,25,11,10,23,44,0,0,1,21,3,9,3,11,10,3,149,10,6,16,19,5,25,17,10,19,19,0,0,0,0,0,19,0,0,10,0,32
9,0,0,0,0,0,14,12,18,5,6,6,9,6,134,9,12,23,11,22,16,40,9,19,21,51,0,0,2,29,10,13,14,7,11,10,125,17,4,9,16,8,20,19,14,19,22,0,0,0,0,0,6,0,0,17,0,36
