,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
0,42.0,48.0,42.0,59.0,35.0,31.0,61.0,39.0,43.0,62.0,42.0,47.0,34.0,65.0,44.0,33.0,57.0,37.0,0,
1,36.0,63.0,40.0,57.0,47.0,39.0,32.0,37.0,59.0,28.0,43.0,53.0,36.0,37.0,27.0,30.0,29.0,45.0,0,
2,42.0,44.0,26.0,52.0,39.0,37.0,48.0,52.0,47.0,228.0,38.0,63.0,65.0,47.0,34.0,35.0,62.0,37.0,0,
3,52.0,50.0,47.0,62.0,51.0,50.0,37.0,43.0,35.0,224.0,35.0,27.0,91.0,56.0,56.0,43.0,45.0,47.0,0,
4,37.0,41.0,45.0,65.0,41.0,63.0,87.0,51.0,34.0,182.0,99.0,27.0,67.0,69.0,37.0,46.0,45.0,47.0,0,
5,53.0,30.0,37.0,84.0,30.0,53.0,84.0,60.0,35.0,275.0,166.0,40.0,84.0,86.0,73.0,58.0,55.0,60.0,0,
6,34.0,57.0,52.0,78.0,37.0,43.0,79.0,58.0,59.0,173.0,236.0,33.0,70.0,123.0,48.0,54.0,53.0,37.0,0,
7,53.0,58.0,36.0,96.0,42.0,65.0,104.0,54.0,45.0,192.0,333.0,48.0,58.0,130.0,82.0,41.0,71.0,40.0,0,
8,40.0,55.0,59.0,106.0,75.0,75.0,89.0,50.0,34.0,196.0,352.0,46.0,87.0,153.0,71.0,59.0,72.0,62.0,0,
9,51.0,38.0,42.0,136.0,24.0,62.0,138.0,53.0,56.0,247.0,432.0,44.0,84.0,168.0,83.0,55.0,65.0,46.0,0,
10,54.0,53.0,47.0,137.0,53.0,68.0,127.0,45.0,50.0,246.0,382.0,55.0,81.0,149.0,80.0,63.0,51.0,38.0,0,
11,63.0,54.0,47.0,171.0,40.0,40.0,138.0,74.0,50.0,272.0,591.0,47.0,100.0,344.0,103.0,75.0,95.0,52.0,0,
12,67.0,35.0,38.0,174.0,65.0,97.0,163.0,74.0,48.0,282.0,643.0,41.0,101.0,224.0,119.0,68.0,87.0,69.0,0,
13,48.0,34.0,47.0,176.0,63.0,64.0,130.0,70.0,35.0,163.0,635.0,45.0,76.0,221.0,187.0,60.0,82.0,71.0,0,
14,60.0,47.0,44.0,177.0,30.0,114.0,153.0,84.0,47.0,470.0,672.0,50.0,138.0,239.0,85.0,96.0,70.0,62.0,0,
15,59.0,60.0,61.0,183.0,95.0,102.0,130.0,76.0,54.0,442.0,658.0,67.0,126.0,251.0,104.0,80.0,95.0,71.0,0,
16,78.0,49.0,50.0,276.0,133.0,57.0,140.0,61.0,33.0,401.0,675.0,58.0,135.0,233.0,116.0,83.0,101.0,54.0,0,
17,58.0,47.0,61.0,178.0,68.0,88.0,181.0,87.0,52.0,486.0,624.0,58.0,110.0,229.0,100.0,69.0,99.0,64.0,0,
18,68.0,47.0,63.0,186.0,112.0,63.0,155.0,82.0,55.0,610.0,669.0,64.0,175.0,243.0,104.0,101.0,90.0,73.0,0,
19,58.0,66.0,43.0,160.0,155.0,71.0,143.0,82.0,52.0,435.0,776.0,42.0,138.0,224.0,89.0,84.0,110.0,53.0,0,
20,84.0,48.0,72.0,240.0,127.0,50.0,246.0,91.0,50.0,728.0,811.0,52.0,186.0,311.0,133.0,87.0,93.0,77.0,0,
21,84.0,54.0,68.0,219.0,105.0,136.0,194.0,94.0,42.0,645.0,834.0,54.0,183.0,319.0,129.0,103.0,109.0,82.0,0,
