,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
0,46,48,42,61,35,36,67,43,46,63,42,47,34,67,48,37,59,38,0,
1,42,55,36,61,43,44,35,37,63,33,46,55,33,39,34,30,30,49,0,
2,45,43,28,51,35,45,55,59,55,220,41,63,64,48,36,32,63,41,0,
3,61,51,48,64,48,56,42,53,36,173,35,39,100,59,59,46,47,58,0,
4,47,43,48,63,41,63,93,65,38,132,79,160,78,82,44,50,56,160,0,
5,62,32,43,79,30,55,101,75,38,171,115,41,106,113,83,62,71,59,0,
6,45,54,49,72,37,55,115,62,64,126,141,32,75,163,61,58,75,45,0,
7,70,63,40,89,42,62,145,71,47,136,213,51,69,183,98,42,88,49,0,
8,52,59,55,101,67,76,136,62,44,134,214,51,101,203,90,63,98,72,0,
9,72,41,44,122,24,47,192,74,64,171,284,45,96,221,104,58,100,45,0,
10,70,53,52,132,49,84,177,55,51,170,251,63,105,199,90,63,76,53,0,
11,90,58,52,151,34,42,204,92,167,182,359,50,116,466,130,78,132,61,0,
12,92,46,53,172,84,90,247,93,50,200,390,44,122,312,146,69,128,87,0,
13,68,32,55,166,56,67,205,74,44,118,370,50,91,330,248,56,118,91,0,
14,88,54,55,164,31,110,233,120,56,304,393,57,161,349,129,98,119,87,0,
15,83,67,72,162,85,95,196,109,57,259,391,73,156,359,141,91,153,96,0,
16,111,53,57,304,82,59,229,90,49,254,379,73,164,358,155,83,141,80,0,
17,77,55,81,161,113,84,251,120,56,279,385,60,153,313,126,78,157,88,0,
18,88,56,78,176,83,70,243,113,61,402,415,78,220,343,139,114,135,92,0,
19,102,65,43,194,86,98,283,91,74,340,374,57,137,409,136,72,140,105,0,
20,116,55,86,216,105,88,376,133,60,414,485,64,252,447,177,102,167,108,0,
21,115,68,89,195,85,117,293,141,39,400,514,56,236,440,168,117,177,106,0,
22,115,81,75,223,73,96,299,174,62,460,550,51,258,467,173,122,204,88,0,
23,239,72,71,213,104,95,286,167,49,520,482,59,296,431,159,118,174,100,0,
24,107,58,75,206,103,216,306,167,54,379,517,52,250,428,175,127,186,105,0,
25,107,80,95,196,112,70,245,187,71,582,452,51,297,419,149,133,188,107,0,
26,99,89,108,207,111,111,274,191,59,540,494,54,286,384,148,130,180,96,0,
27,114,67,92,214,119,120,284,187,73,571,467,70,308,409,169,124,180,110,0,
