,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
0,4262,5084,4528,6063,3685,3144,6302,4091,4515,6293,4422,4806,3610,6731,4520,3535,6369,3845,0,
1,3733,6633,4272,5834,4903,4041,3260,3941,6092,2860,4497,5452,3760,3853,2786,3204,3373,4595,0,
2,4264,5176,3441,5416,4091,3738,4925,6384,4790,167403,4016,6539,10196,6269,3553,3902,6901,3853,0,
3,5334,6377,5485,6654,5415,5144,3701,5928,3636,120918,3685,2715,20495,8668,6108,5391,5298,4806,0,
4,5058,4742,4993,7295,4347,8557,11629,6808,3451,95858,18197,105620,13475,17567,4835,5842,5299,105781,0,
5,6610,3520,4512,9860,3204,5470,11317,8194,3591,170031,28802,4007,22022,23624,8580,8226,6520,6501,0,
6,5227,7382,5669,9328,3835,4338,12062,7209,6068,87566,46242,3379,21240,31308,7267,6794,6114,4831,0,
7,8430,6507,4989,12055,4422,8247,14839,7616,4557,109114,64672,4990,23326,41776,11509,5461,7903,4391,0,
8,5918,6687,6489,13458,11963,9402,15510,6950,3610,104372,69897,4801,27361,48018,10750,8564,8340,7122,0,
9,9848,4531,5434,17344,2542,7285,23738,7773,5737,156851,85214,4545,29539,56980,13203,7009,7496,5034,0,
10,7596,7333,5474,16805,7346,8640,19913,5990,5196,132586,73085,5687,27896,50228,11553,9184,6058,4930,0,
11,12839,6354,5591,22026,4272,4610,27119,10192,105433,151555,118385,4815,39877,184371,17283,10656,11024,6506,0,
12,11424,4594,4765,22738,8331,12521,27786,10884,5090,165389,128997,4340,40091,75624,17542,9042,10471,8402,0,
13,9733,3965,5364,23047,9018,7322,23787,8018,3659,79536,128247,4728,34541,72282,117936,7958,9996,8575,0,
14,10868,7033,6402,22642,3204,14227,28460,13843,4790,296077,138014,5189,53597,89197,15403,13292,8603,8003,0,
15,11349,7905,7612,24516,13366,14445,21388,11137,5662,275672,131911,7240,50289,90802,15687,12958,11772,8478,0,
16,13694,7036,6198,124938,22097,7269,23466,9801,3504,248514,137720,6092,54313,87353,18639,13656,11430,6389,0,
17,9452,6758,7397,23969,9533,11395,31933,13267,5579,306852,126493,6348,50824,85656,16988,11581,11939,9007,0,
18,12539,7875,8699,24509,17019,7009,27905,15605,5838,378530,135490,6946,67446,97024,18408,15558,10926,8942,0,
19,10080,9296,5770,21027,25284,8322,24121,14732,6317,274257,158536,4660,57146,80136,14295,14727,13357,6927,0,
20,15263,8123,9926,31982,23504,6060,129841,16010,5403,473313,163520,5614,76383,118965,22524,16227,11642,9311,0,
