,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
0,42,48,42,59,35,31,61,39,43,62,42,47,34,65,44,33,57,37,0,
1,36,63,40,57,47,39,32,37,59,28,43,53,36,37,27,30,29,45,0,
2,42,44,26,52,39,37,48,52,47,228,38,63,65,47,34,35,62,37,0,
3,52,50,47,62,51,50,37,43,35,224,35,27,91,56,56,43,45,47,0,
4,37,41,45,65,41,63,87,51,34,182,99,130,67,69,37,46,45,131,0,
5,53,30,37,84,30,53,84,60,35,275,166,40,84,86,73,58,55,60,0,
6,34,57,52,78,37,43,79,58,59,173,236,33,70,123,48,54,53,37,0,
7,53,58,36,96,42,65,104,54,45,192,333,48,58,130,82,41,71,40,0,
8,40,55,59,106,75,75,89,50,34,196,352,46,87,153,71,59,72,62,0,
9,51,38,42,136,24,62,138,53,56,247,432,44,84,168,83,55,65,46,0,
10,54,53,47,137,53,68,127,45,50,246,382,55,81,149,80,63,51,38,0,
11,63,54,47,171,40,40,138,74,129,272,591,47,100,344,103,75,95,52,0,
12,67,35,38,174,65,97,163,74,48,282,643,41,101,224,119,68,87,69,0,
13,48,34,47,176,63,64,130,70,35,163,635,45,76,221,187,60,82,71,0,
14,60,47,44,177,30,114,153,84,47,470,672,50,138,239,85,96,70,62,0,
15,59,60,61,183,95,102,130,76,54,442,658,67,126,251,104,80,95,71,0,
16,78,49,50,276,133,57,140,61,33,401,675,58,135,233,116,83,101,54,0,
17,58,47,61,178,68,88,181,87,52,486,624,58,110,229,100,69,99,64,0,
18,68,47,63,186,112,63,155,82,55,610,669,64,175,243,104,101,90,73,0,
19,58,66,43,160,155,71,143,82,52,435,776,42,138,224,89,84,110,53,0,
20,84,48,72,240,127,50,246,91,50,728,811,52,186,311,133,87,93,77,0,
21,84,54,68,219,105,136,194,94,42,645,834,54,183,319,129,103,109,82,0,
22,87,60,59,262,61,104,195,114,59,782,883,50,184,355,143,107,118,68,0,
23,170,63,59,225,122,94,179,117,45,846,827,51,233,299,125,112,107,73,0,
24,84,48,42,218,156,197,200,118,49,693,854,43,180,305,147,106,124,72,0,
25,81,63,69,231,137,88,149,122,67,971,750,46,215,299,121,110,116,90,0,
26,70,74,87,232,133,117,181,125,54,901,760,51,217,298,120,109,117,72,0,
27,84,55,64,242,137,127,174,122,66,980,793,64,233,292,129,104,111,76,0,
28,77,70,50,262,117,99,226,136,47,880,953,54,230,360,137,108,133,169,0,
29,79,65,70,259,154,142,234,138,62,1006,899,46,223,308,127,122,141,81,0,
30,56,65,76,251,136,100,178,127,57,1095,909,57,260,358,148,104,133,77,0,
31,88,59,79,261,123,156,207,158,51,1065,943,50,250,336,133,124,125,56,0,
32,79,52,76,280,115,141,197,150,59,1194,958,151,280,371,156,126,136,76,0,
33,68,55,82,288,65,131,193,118,45,1054,995,71,281,356,152,118,126,58,0,
