172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.168,172.20.2.169,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.228
4568,1327,1404,2312,9134,1591,2164,1016,2734,14160,4245,8368,1986,1208,2470,12721,2592,3547,1520,8754,2904,8849,17781,148,1848,575,9185,2215,0
1774,912,2284,187,3987,1334,1521,1841,2734,14829,1725,8363,1107,3694,1520,4882,3503,3823,1900,9151,2062,0,52993,74,1940,0,8774,400,407
3559,261,2277,1140,3959,1214,2808,868,3230,5359,2413,7641,649,1531,1520,2617,2435,2732,1140,4733,1574,0,17638,148,1252,1915,9436,1896,0
340,1672,2238,2164,570,0,1327,1620,1672,5079,1288,5164,1534,760,1520,1140,1103,2546,2660,1925,1120,0,16962,74,1474,575,7967,0,407
3535,834,1517,1714,1668,3378,2808,619,2161,1482,2351,7225,2754,0,1140,1330,3420,1330,1900,570,2109,0,0,148,1587,765,10819,2357,0
1811,954,1552,792,2847,947,2161,1313,342,644,2238,7545,952,2090,1330,760,760,2090,570,2090,570,0,74,0,2035,3445,7119,674,0
1508,760,3041,1521,2122,2242,1672,133774,1591,760,1021,6899,2828,3230,570,570,2470,760,0,1520,2091,0,0,0,103547,1340,9601,400,0
4124,187,644,2122,2281,2921,1404,2882,1482,1974,1672,7716,762,1330,1140,1900,760,1900,2470,760,2090,0,74,74,1922,2105,8955,2054,0
2147,2808,764,947,2122,912,1524,2281,757,1401,1404,7129,2447,2090,1900,2090,1330,1330,1520,570,760,0,0,74,1940,2105,8303,600,407
3234,1781,1404,3762,2281,834,2312,1713,3304,912,1524,7230,2176,1330,1520,1140,1330,570,760,1330,3439,0,0,148,1809,1150,9265,2160,0
1848,1672,1478,1330,1404,2284,1517,1140,570,2235,1404,6984,1534,570,2660,2090,570,0,2090,1900,0,0,74,74,1178,2680,8779,400,407
5041,2161,1517,1711,1900,2090,912,2284,3681,3002,1327,6643,1224,1330,570,1520,1900,1330,1900,1330,570,0,0,74,1330,1530,10103,2412,0
6266,2284,1552,1974,2087,1327,1517,1974,2242,335,912,7491,1724,1900,2660,760,1330,1330,1140,1140,1900,0,74,148,1746,1915,8704,3247,407
1947,644,4371,381,2808,2238,3572,2896,2161,1330,2087,8122,2253,2090,1900,760,760,1900,1330,1900,1539,0,0,0,1859,2105,11551,797,0
1656,2090,1552,2882,1141,1021,1021,2122,2242,2734,2242,5575,1337,1330,570,570,1330,2090,1900,760,2470,0,74,74,2190,1340,11246,474,0
1956,2432,1521,1901,2312,912,1524,1141,1401,1140,3681,6206,1488,1520,760,760,760,1330,1330,760,2090,0,0,74,1940,1340,8779,600,0
4176,1848,2734,1552,1711,1401,74,2312,2432,2432,1524,6814,2366,1330,570,570,1900,1140,2090,2660,2470,0,0,148,2497,0,10483,2012,0
1183,134057,2094,187,2122,2094,4224,1327,1520,1855,2122,6493,1107,760,1330,2470,1900,2470,570,1330,0,0,74,74,104295,1915,9595,200,407
3424,2351,187,718,1334,1594,2122,425,3230,1672,194,7646,2176,570,2090,760,1140,1140,1330,1900,2299,0,0,148,1513,2680,7972,2160,0
1700,2432,982,1900,947,3230,2660,1601,2660,1665,2882,5019,2299,2090,1330,1330,1900,0,1140,570,191,0,74,74,1280,1340,12363,400,407
4153,1781,2847,1714,74,912,1327,954,1021,912,2847,5575,1224,1330,1520,760,1900,0,1900,0,1140,0,0,74,1785,1530,7380,1896,0
1774,2854,2882,2882,2087,3607,644,792,3002,2161,1478,7711,1721,2090,760,1900,1330,760,570,3230,2660,0,74,74,1922,1340,12058,400,407
2021,1330,1521,951,2312,1482,2281,2136,1021,1784,2161,6348,2253,1710,0,760,1900,2470,1330,1900,779,0,0,0,2092,1915,9296,871,0
2499,1591,982,2312,1711,1021,792,1552,342,1330,2763,7828,1717,2660,1520,570,1330,2660,1330,1900,1140,0,0,148,2486,1340,7610,800,0
340,718,1524,2471,1362,2242,1711,951,2161,2235,133247,6596,2257,1900,760,1330,2090,1520,1330,1140,1330,0,74,74,104099,1340,9702,0,407
