172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.168,172.20.2.169,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.228
24,7,8,14,22,9,12,8,15,79,11,79,8,5,13,28,12,13,8,29,15,5,6,2,28,3,90,17,0
8,6,12,5,16,7,8,15,15,116,10,87,7,18,4,16,16,16,10,34,6,0,23,1,29,0,79,4,1
20,2,12,6,14,7,16,10,17,41,13,72,4,8,8,6,12,13,6,18,8,0,10,2,19,10,85,15,0
4,10,13,12,3,0,7,12,10,38,8,56,8,4,8,6,5,12,7,8,5,0,6,1,22,3,75,0,1
23,5,8,13,10,19,16,3,12,9,13,65,15,0,6,7,18,7,13,3,11,0,0,2,24,4,99,15,0
7,6,10,6,15,5,12,13,3,4,13,72,5,11,7,4,4,11,3,11,3,0,1,0,29,18,64,6,0
5,4,16,8,13,13,10,107,9,4,6,65,16,17,3,3,13,4,0,8,10,0,0,0,149,7,91,4,0
21,1,4,13,12,16,8,17,9,11,10,76,4,7,6,10,4,7,13,4,11,0,1,1,29,11,84,12,0
10,16,4,5,13,6,8,12,4,8,8,72,14,11,10,7,7,7,8,3,4,0,0,1,30,11,78,6,1
23,10,8,20,5,5,14,7,14,6,8,65,12,7,8,6,7,3,7,7,18,0,0,2,30,6,101,11,0
8,10,9,7,8,12,8,6,3,17,8,66,8,3,14,11,3,0,11,10,0,0,1,1,18,14,79,5,1
23,12,8,8,10,11,5,12,16,13,7,63,7,7,3,8,10,7,10,7,3,0,0,1,25,8,103,20,0
32,12,10,11,11,7,8,11,13,3,6,74,9,10,10,4,7,7,6,6,10,0,1,2,27,10,82,19,1
8,5,20,2,16,13,17,19,12,7,8,74,13,11,10,4,4,10,7,10,11,0,0,0,28,11,115,7,0
8,15,13,17,6,6,9,13,13,15,16,65,7,4,3,0,7,8,10,4,10,0,1,1,31,7,94,4,0
8,13,7,10,14,6,8,6,8,6,16,56,9,8,4,4,8,7,7,4,11,0,0,1,34,7,87,6,0
22,10,16,10,9,8,1,18,14,14,13,67,13,7,0,3,10,6,11,14,13,0,0,2,35,0,92,17,0
6,107,11,1,13,11,22,7,8,11,12,67,7,4,10,10,10,10,3,7,0,0,1,1,156,7,87,2,1
22,13,1,8,7,9,13,2,17,10,1,72,12,3,11,4,6,6,7,10,12,0,0,2,23,14,72,13,0
7,14,11,7,9,17,14,11,14,10,17,51,12,7,7,7,10,0,6,3,1,0,1,1,19,7,113,4,1
19,10,15,9,1,6,8,5,6,6,15,53,7,7,8,4,10,0,10,0,6,0,0,1,27,8,70,13,0
8,15,17,17,11,19,4,6,17,12,9,77,9,11,4,10,7,0,3,17,14,0,1,1,29,7,114,4,1
10,7,11,5,14,9,12,11,6,10,12,66,13,6,0,0,10,13,7,10,4,0,0,0,33,10,84,7,0
