,Reconstruction_error,True_class
0,-41.120033264160156,0
1,90.0386962890625,0
2,-56.32666269938151,0
3,-4.783975780010223,0
4,-37.09175033569336,0
5,-43.71036491394043,0
6,31.036238145828246,0
7,-22.958392333984374,0
8,72.46238708496094,0
9,54.9838150024414,0
10,-36.39119453430176,0
11,-1.6122385025024415,0
12,-50.6894115447998,0
13,10.074522018432617,0
14,-20.885673332214356,0
15,93.81492156982422,0
16,86.73640670776368,1
17,-56.75570831298828,1
18,-69.12501029968261,1
19,-33.794966506958005,1
20,26.89794788360596,0
21,-7.863088226318359,0
22,23.176953029632568,0
23,167.65234375,0
24,-12.603398513793945,0
25,63.39338073730469,0
26,14.28919677734375,0
27,8.026416635513305,0
28,-18.731594467163085,0
29,44.73244094848633,0
30,-40.987521743774415,0
31,10.594683837890624,0
32,-32.93783073425293,0
33,-47.574431610107425,0
34,156.65268249511718,0
35,111.31611709594726,0
36,56.25369248390198,0
37,67.29659576416016,0
38,-58.57436599731445,0
39,45.454020500183105,0
40,-65.10021438598633,0
41,13.947726058959962,0
42,-50.182167053222656,0
43,19.52949447631836,0
44,76.91236724853516,0
45,91.85415878295899,0
46,-27.059572219848633,1
47,-27.084275436401366,1
48,27.24311981201172,1
49,-72.50926513671875,1
50,-1.8695718765258789,0
51,-54.071589660644534,0
52,97.25409317016602,0
53,-65.29559555053712,0
54,-55.219581604003906,0
55,-72.41653060913086,0
56,33.07330055236817,0
57,-39.58130302429199,0
58,-49.656340789794925,0
59,-73.58885345458984,0
60,-55.80439834594726,0
61,-49.42534866333008,0
62,-16.23170042037964,0
63,-3.7922096252441406,0
64,120.48255996704101,0
65,-79.58075408935547,0
66,-66.15146713256836,0
67,-50.284278106689456,0
68,-67.82394104003906,0
69,-65.57736206054688,0
70,31.926960372924803,0
71,71.85727310180664,0
72,-22.35470085144043,0
73,-4.84552230834961,0
74,20.78991117477417,1
75,-16.235886907577516,1
76,-17.413377952575683,1
77,-30.42260570526123,1
78,-56.6842643737793,0
79,35.04443130493164,0
80,99.67759246826172,0
81,-55.03157730102539,0
82,-6.400106811523438,0
83,-75.7464210510254,0
84,-58.17402877807617,0
85,-41.60994186401367,0
86,-65.39636611938477,0
87,-82.54292755126953,0
88,-25.524699211120605,0
89,-75.58137893676758,0
90,-59.58290481567383,0
91,84.68234596252441,0
92,-74.03108978271484,0
93,44.1324275970459,0
94,-65.56363296508789,0
95,70.83459091186523,0
96,-39.367183685302734,0
97,-55.91324081420898,0
98,-71.13290328979492,0
99,-82.99258422851562,0
100,-20.542268371582033,0
101,-37.55399780273437,0
102,30.08044090270996,0
103,-65.64583740234374,0
104,-59.69458084106445,1
105,-67.27982635498047,1
106,-56.14497680664063,1
107,1.2763866424560546,1
108,4.191689300537109,0
109,-50.74650421142578,0
110,-59.08343353271484,0
111,-61.014242553710936,0
112,-52.61533813476562,0
113,-86.07571258544922,0
114,-83.42486419677735,0
115,-53.10527114868164,0
116,-16.427558994293214,0
117,-40.777835845947266,0
118,-52.1163688659668,0
119,-61.969599914550784,0
120,7.737830734252929,0
121,-80.94556579589843,0
122,5.754722213745117,0
123,-51.091285705566406,0
124,63.4598445892334,0
125,-31.91698799133301,0
126,-76.37100067138672,0
127,-56.557047271728514,0
128,13.014168548583985,0
129,31.385312271118163,0
130,-40.908761215209964,0
131,-59.685604095458984,0
132,-52.42521286010742,0
133,-59.87879638671875,0
134,-87.10067596435547,1
135,-0.10780258178710937,1
136,-65.53312835693359,1
137,-66.00055465698242,1
138,-79.04579620361328,0
139,-70.72509078979492,0
140,-79.06934280395508,0
141,-71.98563003540039,0
142,-19.05018424987793,0
143,-74.71403656005859,0
144,-68.45409698486328,0
145,-54.165391540527345,0
146,-71.90697631835937,0
147,-12.753914737701416,0
148,-57.286467742919925,0
149,-67.10091094970703,0
150,26.550191116333007,0
151,-57.13625030517578,0
152,-18.96868190765381,0
153,-75.90678405761719,0
154,-73.75872802734375,0
155,-11.494615745544433,0
156,-66.02551345825195,0
157,-27.98360481262207,0
158,15.661048889160156,0
159,-60.54029312133789,0
160,-18.80979652404785,0
161,-63.35670394897461,0
162,-75.27335815429687,1
163,-38.18742065429687,1
164,48.900061416625974,1
165,-28.14898262023926,1
166,8.24831485748291,0
167,-81.84865112304688,0
168,-53.04714736938477,0
169,-10.41744499206543,0
170,-85.53997955322265,0
171,-39.86251258850098,0
172,-80.98027801513672,0
173,-39.76119689941406,0
174,-55.04725952148438,0
175,22.68907642364502,0
176,-73.83457946777344,0
177,-65.33356552124023,0
178,113.63412170410156,0
179,-14.066553497314453,0
180,-60.26401596069336,0
181,-73.67211608886718,0
182,-68.71419372558594,0
183,-61.70892562866211,0
184,-82.61649169921876,0
185,-71.47076873779297,0
186,-72.85506134033203,0
187,12.81142692565918,0
188,30.834077072143554,0
189,-50.27643156051636,1
190,8.837958335876465,1
191,-37.95466079711914,1
192,16.351091957092287,1
193,-1.338179922103882,0
194,-21.205870819091796,0
195,6.081060791015625,0
196,-69.93621520996093,0
197,-75.17147521972656,0
198,-72.81570434570312,0
