172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.176,172.20.1.177,172.20.1.178,172.20.1.179,172.20.1.180,172.20.1.181,172.20.1.182,172.20.1.183,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.185,172.20.2.186,172.20.2.187,172.20.2.188,172.20.2.189,172.20.2.190,172.20.2.191,172.20.2.192,172.20.2.193,172.20.2.194,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.2.228,172.20.1.211,172.20.2.195
22,12,12,15,4,9,6,10,10,13,5,1,16,16,20,12,8,15,1,170,16,4,11,7,10,11,7,14,11,14,3,3,14,3,6,11,7,10,8,2,57,7,180,1,15,0
8,10,7,4,4,5,9,13,10,12,11,1,6,1,9,6,4,15,9,124,14,10,8,3,10,6,6,10,8,0,7,7,8,0,6,10,3,4,10,1,45,8,111,0,6,0
19,6,10,7,2,11,6,5,10,11,15,2,9,2,10,6,10,5,8,140,6,8,3,8,14,10,13,10,7,0,7,3,14,13,0,10,7,7,11,2,77,3,102,0,12,0
8,10,12,4,7,4,10,12,12,7,17,10,3,10,6,10,14,14,10,134,7,7,7,3,10,3,3,8,8,10,11,8,10,14,8,3,11,10,0,1,51,0,132,0,6,0
21,4,9,25,5,8,16,6,12,11,8,5,8,1,5,12,11,11,8,143,15,7,7,4,10,10,4,7,1,14,10,3,4,14,3,11,3,14,14,1,46,4,144,0,15,0
5,7,5,8,13,11,12,8,12,12,6,6,13,9,2,10,10,5,9,142,9,4,8,4,7,7,3,11,4,7,7,8,3,7,14,8,11,4,14,2,38,7,134,1,0,0
11,6,15,9,9,5,8,12,14,8,12,4,10,15,1,12,8,8,4,156,7,3,9,7,3,4,14,6,4,7,7,14,7,4,0,4,17,18,11,0,34,17,140,0,10,0
20,10,9,10,5,9,13,17,14,6,7,10,8,17,8,11,3,11,11,147,12,4,10,6,7,6,29,10,8,11,8,8,8,0,8,7,13,11,0,1,64,8,139,1,12,0
8,10,7,9,3,10,9,108,17,12,4,8,11,18,8,17,8,14,8,169,11,14,14,10,10,14,32,7,12,7,4,11,3,0,10,10,10,7,10,1,153,7,153,0,6,0
22,7,12,8,17,13,9,8,10,7,13,14,1,10,12,6,4,12,8,151,10,6,3,10,10,7,44,7,10,10,7,3,10,7,11,7,7,0,24,2,51,14,116,1,12,0
