172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.176,172.20.1.177,172.20.1.178,172.20.1.179,172.20.1.180,172.20.1.181,172.20.1.182,172.20.1.183,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.185,172.20.2.186,172.20.2.187,172.20.2.188,172.20.2.189,172.20.2.190,172.20.2.191,172.20.2.192,172.20.2.193,172.20.2.194,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.2.228,172.20.1.211,172.20.2.195
4416,2281,2432,2851,760,1482,1028,2471,2242,3572,1524,381,2854,2854,3849,2284,1524,2094,194,16886,3061,760,2090,1330,1900,2090,1330,2660,2869,2660,570,570,2090,570,1330,2090,2090,1900,2280,148,3430,1340,17708,407,1886,0
1955,1552,1214,644,764,831,1591,2122,1781,2161,1742,74,792,74,1362,792,644,2734,1362,13126,2327,1900,1520,570,1900,1140,1140,1900,1520,0,1330,1330,1520,0,1140,1900,570,760,1900,74,3162,1530,11838,0,600,0
3929,1711,1672,1334,74,1862,4026,1141,1672,2094,2851,381,1711,381,1901,1141,1141,764,951,15663,1146,1520,0,1520,2660,1900,1900,1900,1330,0,570,570,1900,1140,0,1900,1900,2090,2660,148,4256,1150,10804,0,1738,0
1956,1552,2161,644,1102,644,1552,2164,2161,1214,2882,1552,222,1552,792,1552,2312,2312,1552,14078,987,1330,1330,570,1900,570,570,1520,1520,1900,2090,1520,1900,2660,1520,570,2090,1900,0,74,3676,0,13933,0,600,0
3545,760,1478,4570,831,1517,2847,883,2048,2090,1517,947,1517,187,947,2277,2087,2087,1517,15076,2867,1330,1330,760,1900,1900,760,1330,191,2660,1900,1330,760,2660,570,2090,570,2660,1900,74,3591,765,15178,0,2209,0
340,1327,947,1288,2242,2090,2048,1517,2277,2048,908,908,2238,1478,148,1668,1668,718,1478,14388,1488,760,1520,760,1330,1330,570,2090,760,1330,1330,1520,570,1330,2660,1520,2090,760,3420,148,2718,1340,14088,407,0,0
2650,1140,2618,1517,1591,947,1517,2048,2660,1517,2277,757,1897,1517,187,2277,1517,1517,757,16465,1340,570,1710,1330,570,760,2660,1172,760,1330,1330,2660,1330,760,0,760,3230,3420,2090,0,2100,3255,15593,0,1000,0
4046,1901,1711,1672,718,1482,2242,3227,2938,912,1269,1672,1524,3002,1524,2431,342,1862,2094,15381,2299,760,1900,1140,1330,1140,5898,1900,1539,2090,1520,1520,1520,0,1520,1330,2470,2090,0,74,4099,1530,14680,407,1938,0
1955,1552,1214,1591,570,1781,1594,135940,3737,2161,644,1218,1974,3304,1404,4419,1404,2479,834,17548,1989,2660,2660,1900,1900,2660,5501,1330,2334,1330,760,2090,570,0,1900,1900,1900,1330,1900,74,103695,1915,16485,0,600,0
4194,1459,2284,1524,8380,2242,1524,1401,1813,1102,3581,2664,194,6007,1955,1275,764,2698,1524,16009,1911,1140,570,1900,1900,1330,10658,1330,1974,1900,1330,570,1900,1330,2090,1330,1330,0,6710,148,3271,2680,12208,407,1812,0
