172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.176,172.20.1.177,172.20.1.178,172.20.1.179,172.20.1.180,172.20.1.181,172.20.1.182,172.20.1.183,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.185,172.20.2.186,172.20.2.187,172.20.2.188,172.20.2.189,172.20.2.190,172.20.2.191,172.20.2.192,172.20.2.193,172.20.2.194,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.2.228,172.20.1.211,172.20.2.195
2515,1301,1263,1632,406,930,600,1045,1005,1336,526,120,1707,1707,2134,1263,857,1594,120,32310,1727,406,1143,737,1068,1143,737,1474,1493,1474,331,331,1474,331,662,1143,737,1068,812,148,5241,747,34220,192,3928,0
748,959,736,405,451,518,924,1290,999,1255,1034,74,553,74,884,553,405,1548,884,23570,1380,1068,812,331,1068,662,662,1068,812,0,737,737,812,0,662,1068,331,406,1068,74,3532,822,21105,0,1807,0
2034,639,1005,782,187,1080,600,526,1005,1188,1632,233,970,233,1045,639,1045,564,895,26610,644,812,331,812,1474,1068,1399,1068,737,0,737,331,1474,1399,0,1068,737,737,1143,148,8611,336,19417,0,3707,0
748,959,1255,405,674,405,959,1217,1255,736,1696,959,222,959,553,959,1365,1365,959,25460,633,737,737,331,1068,331,331,812,812,1068,1143,812,1068,1474,812,331,1143,1068,0,74,3898,0,25085,0,1808,0
2357,406,885,2684,518,850,1661,597,1216,1143,850,519,850,113,519,1256,1181,1181,850,27175,1607,737,737,406,1068,1068,406,737,123,1474,1068,331,406,1474,331,1143,331,1474,1474,74,5567,411,27432,0,3323,0
629,775,519,810,1336,1143,1216,850,1256,1216,554,554,1291,885,148,960,960,479,885,26990,895,406,812,406,737,737,331,1143,406,737,737,812,331,737,1474,812,1143,406,1474,148,3014,747,25470,192,0,0
1074,662,1547,924,924,519,850,1216,1474,850,1256,444,1106,1587,113,1256,850,850,444,29697,747,331,993,737,331,406,1474,632,406,737,737,1474,737,406,0,406,1805,1880,1143,0,3062,1830,26610,0,2576,0
2493,1274,970,1005,479,930,1336,1779,1604,599,2201,1005,857,1742,857,1510,268,1080,1188,27940,1278,406,1068,662,737,662,3805,1068,1162,1143,812,812,812,0,812,737,1399,1143,0,74,5790,822,26425,192,3706,0
748,959,736,924,331,999,886,103244,2096,1255,405,973,1142,1879,811,2210,811,2892,811,32125,1157,1474,1474,1068,1068,1474,5610,737,1251,737,406,1143,331,0,1068,1068,1068,737,1068,74,135817,747,29085,0,1807,0
2515,961,1263,857,4945,1336,970,849,1113,674,1978,1519,120,5570,1342,860,451,1873,857,28710,1055,662,331,1068,1068,737,11307,737,1393,1068,737,331,1068,737,1143,737,737,0,8342,148,4712,1494,22050,192,3706,0
748,1365,1217,886,1262,924,811,1493,1843,480,10410,1873,1365,222,628,1293,222,1449,1365,26983,969,1068,737,728,737,812,3841,737,514,1143,812,737,1068,6967,812,737,406,406,1143,74,3722,1083,29650,0,1807,0
2034,1367,1336,120,849,451,1045,1217,1187,1188,2174,889,639,797,1301,2703,564,8876,970,26615,980,1068,737,6232,331,737,5398,993,406,1068,737,1068,737,737,737,1474,331,737,737,74,6582,1158,26800,0,3315,0
548,331,850,479,1640,1291,1291,1554,1362,1143,1795,148,1216,885,967,1625,479,8725,479,24145,1231,1143,1068,737,737,331,5511,331,1378,1143,737,406,737,5899,737,406,737,737,406,148,2908,1083,26805,0,1434,0
861,479,885,1181,1330,3070,519,74,1067,812,1366,1038,444,1181,850,1256,519,1501,519,31360,1271,1068,1474,1474,1143,737,3389,331,737,662,331,1143,1474,737,1068,331,737,737,1474,74,5419,747,24735,0,960,0
