172.20.0.0,172.20.1.184,172.20.1.185,172.20.1.186,172.20.1.187,172.20.1.188,172.20.1.190,172.20.1.191,172.20.1.192,172.20.1.193,172.20.1.194,172.20.1.195,172.20.1.196,172.20.1.197,172.20.1.198,172.20.1.199,172.20.1.200,172.20.1.201,172.20.1.210,172.20.1.215,172.20.2.197,172.20.2.198,172.20.2.199,172.20.2.200,172.20.2.201,172.20.2.202,172.20.2.203,172.20.2.204,172.20.2.205,172.20.2.206,172.20.2.207,172.20.2.208,172.20.2.209,172.20.2.210,172.20.2.211,172.20.2.212,172.20.2.213,172.20.2.214,172.20.2.217,172.20.2.218,172.20.2.219,172.20.2.220,172.20.2.226,172.20.1.211,172.20.1.189,172.20.2.228
917,1478,2847,1552,570,1524,1524,2242,831,865,1632,908,2284,1774,6225,834,1215,1901,15965,1298,1712,1900,2090,1140,1330,1900,1140,1330,1330,3584,2403,1900,886,2660,1330,74,1905,2090,2850,2680,11637,24467,12133,400,0,0
488,2657,1330,3611,1901,2161,1781,834,2432,573,1404,757,222,1591,2505,1970,2312,2882,17473,959,2788,1900,570,1520,1330,2842,2660,1945,2353,1330,1900,1330,1468,3230,1330,148,2679,2418,3160,1340,0,8795,15151,0,834,407
4874,1478,1404,1330,792,3002,3917,2094,1404,2962,1141,1330,1521,912,3262,2521,947,1141,16710,1414,2660,1330,2660,2660,1900,760,1330,760,1755,1853,2988,760,2494,2660,1330,0,2144,1985,3051,1915,0,8833,14344,2244,1524,0
2147,381,1714,4980,951,757,1591,2048,2281,1404,2882,3304,908,2164,2432,1332,3002,2048,17031,2257,2660,3230,1330,1520,570,2090,0,1900,2783,1900,2090,760,760,2660,1900,0,1330,2660,4870,765,0,0,17959,600,2312,407
3973,135591,2312,148,2882,148,912,381,570,1672,2259,2284,187,1524,1665,222,2608,947,14238,1601,1330,2660,0,760,2090,2090,1520,760,1140,2660,1330,1330,570,1330,1330,148,1730,2090,104885,1530,0,74,11621,1867,1901,0
2221,1330,1711,2351,1901,1711,2277,1478,3417,2474,1478,2122,1478,1974,764,951,133361,194,13351,1682,760,1330,570,760,1140,0,760,2660,1330,2090,1330,2090,1330,760,2660,74,1331,2090,105331,1340,0,0,15562,600,2312,407
288,1330,2122,1862,2470,834,1900,1517,2238,1337,2087,2281,1974,757,1404,3152,1404,644,12795,2292,1140,2660,1330,0,1330,760,0,1755,1755,2090,2090,2090,570,1330,570,148,1349,1900,2342,1340,0,0,15673,323,381,0
4549,1478,2087,834,760,1714,1900,1672,1591,1327,1330,1362,954,908,947,2090,1711,954,12464,1488,1900,760,570,1330,1140,1900,0,1900,760,1520,570,2090,760,1520,570,74,760,2660,2423,1150,0,0,12283,2067,148,0
296,1591,1478,954,2090,1974,834,1591,2242,148,1404,757,1404,1591,718,1517,792,1552,17142,1527,1330,2470,1900,760,1140,1900,1330,760,3230,1330,1900,1900,1900,1330,2660,148,3230,1330,2814,1530,0,0,13532,0,760,0
4794,1862,2090,2122,1552,2432,2242,2284,2161,954,1759,2048,1141,1862,335,1478,2471,1711,14825,839,2090,1520,1330,1302,1520,760,1900,760,1900,1900,1330,1900,570,2660,1330,0,779,570,3513,1530,0,74,14820,2296,1334,0
2147,2351,1714,2087,1901,2351,2351,2734,1524,1826,2882,2734,982,1591,1672,1730,2238,148,12805,1534,0,1520,2470,1330,1330,760,3230,995,760,1900,1900,1330,570,1330,570,0,209,0,3326,1915,0,0,17442,600,2122,407
3891,2242,1552,2808,2312,2238,1482,1711,718,954,2281,2854,2087,1334,2995,1761,1591,3111,14119,2366,1330,1140,570,2090,760,2090,1900,1140,3085,1900,1330,760,1330,1900,1140,74,0,1330,3418,1340,0,74,16410,2009,1711,0
2147,2351,951,2161,2471,1517,1781,2312,1900,1591,1552,222,908,2164,764,1141,760,1478,13020,1682,570,760,1140,1900,0,1900,1900,760,1900,1520,760,0,1900,1330,1330,74,760,2090,3132,1530,0,0,12689,600,2122,407
2523,2090,2122,3002,792,1552,2808,2657,2238,2242,2277,1711,2161,0,74,1974,2122,834,12239,1601,2470,570,2660,570,760,1900,2660,1140,1330,0,570,570,570,1900,1330,148,1330,0,3008,1530,0,0,16736,1496,1521,0
2351,954,2471,2734,570,2094,2090,1668,1591,2351,1478,1552,2284,3002,2094,912,954,2284,17036,2253,2090,1900,1520,1900,1520,2090,570,1900,2090,1330,1900,1520,760,2090,1900,74,2109,2660,2751,1150,0,0,17928,800,2048,0
554,757,1668,3801,1520,644,1974,1401,1672,1333,1900,1327,1404,1707,2048,209,2882,1552,11464,2292,570,2090,1900,0,760,760,1330,1565,1330,760,1520,1330,1900,570,1330,74,1349,1140,2779,1340,0,0,15898,197,2351,407
