172.20.0.0,172.20.1.184,172.20.1.185,172.20.1.186,172.20.1.187,172.20.1.188,172.20.1.190,172.20.1.191,172.20.1.192,172.20.1.193,172.20.1.194,172.20.1.195,172.20.1.196,172.20.1.197,172.20.1.198,172.20.1.199,172.20.1.200,172.20.1.201,172.20.1.210,172.20.1.215,172.20.2.197,172.20.2.198,172.20.2.199,172.20.2.200,172.20.2.201,172.20.2.202,172.20.2.203,172.20.2.204,172.20.2.205,172.20.2.206,172.20.2.207,172.20.2.208,172.20.2.209,172.20.2.210,172.20.2.211,172.20.2.212,172.20.2.213,172.20.2.214,172.20.2.217,172.20.2.218,172.20.2.219,172.20.2.220,172.20.2.226,172.20.1.211,172.20.1.189,172.20.2.228
548,885,1587,959,331,857,857,1336,518,688,1101,554,1263,12852,28829,480,713,1045,28648,820,1162,1068,1143,662,737,1068,662,737,737,1731,1173,1068,2006,1474,737,74,1040,1143,3812,1494,222,1807,21860,769,0,0
703,1512,1068,2038,1045,1255,999,480,1742,357,811,444,222,924,10965,1383,1365,1696,32500,531,1390,1068,331,812,737,1628,1474,1021,1481,737,1068,737,993,1805,737,148,1493,1481,3974,747,0,398,26225,0,554,192
2318,885,811,737,553,1742,1655,1188,811,1838,639,737,895,599,11397,1790,519,639,30985,821,1474,737,1474,1474,1068,406,737,406,946,1146,1250,406,3149,1474,737,0,1176,1328,4087,1083,0,472,25850,4800,857,0
1155,233,1263,2929,564,444,924,1216,1301,811,1696,1879,554,1217,1411,762,1742,1216,30785,1277,1474,1805,737,812,331,1143,0,1068,1665,1068,1143,406,406,1474,1068,0,737,1474,6920,411,0,0,31785,1807,1365,192
2015,102571,1365,148,1696,148,599,233,331,1005,1370,1263,113,970,998,222,1450,519,25850,934,737,1474,0,406,1143,1143,812,406,662,1474,737,737,331,737,737,148,1285,1143,138092,822,0,74,21100,3825,1045,0
1229,737,970,1330,1045,970,1256,885,1918,1521,885,1290,885,1142,857,564,102181,120,24140,1015,406,737,331,406,662,0,406,1474,737,1143,737,1143,737,406,1474,74,785,1143,137547,747,0,0,27370,1881,1365,192
471,811,1290,1080,1399,480,1068,850,1291,808,1181,1301,1142,444,811,2398,811,405,23000,1271,662,1474,737,0,737,406,0,946,946,1143,1143,1143,331,737,331,148,1087,1068,3008,747,0,0,28135,140,233,0
2215,885,1181,480,480,932,1068,1005,924,775,737,884,526,554,519,1143,970,526,21860,895,1068,406,331,737,662,1068,0,1068,406,812,662,1143,406,812,331,74,406,1474,3089,672,0,0,22240,4401,148,0
296,924,1005,526,1143,1473,480,924,2073,148,885,444,811,924,479,850,553,1290,31930,860,737,1399,1068,406,662,1068,737,406,1805,737,737,1068,1068,737,1474,148,1474,737,3212,822,0,0,21860,0,406,0
2370,1080,1143,1290,959,1005,1336,1263,1255,526,991,1216,639,1080,261,885,1376,970,25442,485,1549,812,737,662,812,406,1068,406,1068,1068,737,1474,331,1474,737,0,756,331,4697,822,0,74,27555,4720,782,0
