index,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
1,7318,5890,4940,9161,6266,10107,11508,6939,8009,10020,7410,8801,6369,10825,4882,7014,9781,5953,0,
2,3761,9310,7410,10690,7980,6290,13695,6650,12060,7208,12184,6337,6840,11255,10565,9845,9057,6877,0,
3,9578,5130,6840,12137,11210,4903,12368,8740,6257,8658,20480,10293,8504,17384,12853,9810,8196,8760,0,
4,6908,6460,7793,11923,8930,11429,20212,4940,8117,6596,38388,7888,7115,19119,18983,9465,10844,9423,0,
5,14563,7151,8232,13912,5320,141579,20259,19152,8386,25156,40188,4217,17892,166806,19631,20880,10845,10145,0,
6,14008,9586,9760,19310,12393,12601,25019,15470,141774,32470,44008,9810,17800,32542,25069,18742,11941,14106,0,
7,11226,9773,11917,15705,9679,10952,23468,14744,11145,34078,55827,8664,19422,40021,23880,23594,9887,8671,0,
8,11300,5884,10687,18807,7030,18018,29496,12440,8538,25267,65293,10738,16465,39607,27840,22839,13436,11726,0,
9,10980,12678,13190,18509,13705,9422,26078,18775,12373,52948,58799,6578,31663,39148,32694,30662,14715,10981,0,
10,8964,8491,10745,19561,17450,13784,30999,23056,9321,46096,57162,8690,26256,43021,29497,21077,12206,16220,0,
11,15921,11672,11959,18613,7980,14569,24286,14839,10516,47739,62035,8203,29578,49206,34929,32908,14397,9590,0,
12,13069,9556,13194,20812,16728,13776,34278,31996,7860,72071,67266,7499,37511,42925,31922,33364,15989,14812,0,
13,13752,12435,13495,21315,13280,9112,27382,24585,8447,206168,77679,7872,44991,51166,38509,41821,18170,13077,0,
14,14779,10918,15449,25389,15305,19693,42181,32374,11921,73451,96697,10575,42912,63116,43367,42213,19648,15458,0,
15,15174,12132,13450,22399,17260,15018,37145,26968,12006,66840,83765,11299,41055,57827,44438,35262,18568,15530,0,
16,11428,12601,15117,25149,10310,12397,40859,20756,10530,69026,86620,7260,37631,56133,42383,35808,17092,10497,0,
17,11742,8460,12540,28138,18508,21034,42337,28281,8816,70617,109157,10170,37479,69513,47030,34957,20139,18534,0,
18,15313,13400,15040,21501,11004,11730,178099,16941,8440,59509,101737,6537,40707,63451,49483,43371,18486,9620,0,
19,16808,11280,12441,33184,20797,21505,41666,29483,10372,75271,118357,11102,41469,81214,53645,44103,25586,20125,0,
20,19547,10938,13901,28313,9695,10043,51178,18865,9003,60847,120106,13044,41949,80965,56395,51785,20224,8692,0,
21,14952,12145,17629,36046,26696,24800,65148,38877,13079,96245,134073,11223,49205,80832,53559,42939,25485,24712,0,
