1614851418,1614851429|0.0,2.212;0.0,2.217;0.0,2.228;1.164,2.217;1.164,2.226;2.217,1.165;2.226,1.165;1.166,2.226;2.217,1.167;2.226,1.167;1.168,2.217;2.226,1.168;1.169,2.217;1.169,2.226;1.170,2.155;2.217,1.170;2.226,1.170;2.217,1.171;2.226,1.171;1.172,2.217;1.172,2.226;2.217,1.173;2.226,1.173;2.148,1.210;1.210,2.150;1.210,2.151;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.226,1.215;0.0,1.211;
1614851432,1614851443|0.0,2.217;1.164,2.217;1.164,2.226;2.217,1.165;2.226,1.165;1.166,2.217;1.166,2.226;2.217,1.167;2.226,1.167;1.168,2.217;2.226,1.168;1.169,2.217;2.217,1.170;2.226,1.170;2.217,1.171;2.226,1.171;1.172,2.217;1.172,2.226;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.150;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.226,1.215;0.0,1.211;0.0,2.212;
1614851446,1614851457|0.0,2.217;1.164,2.217;1.164,2.226;2.217,1.165;2.226,1.165;1.166,2.226;2.217,1.167;2.226,1.167;1.168,2.217;2.226,1.168;1.169,2.217;2.217,1.170;2.226,1.170;2.217,1.171;2.226,1.171;1.172,2.217;1.172,2.226;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.150;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.226,1.215;0.0,1.211;1.169,2.226;
1614851460,1614851471|0.0,2.217;1.164,2.217;1.164,2.226;2.217,1.165;2.226,1.165;1.166,2.217;1.166,2.226;2.217,1.167;2.226,1.167;2.226,1.168;1.169,2.217;1.169,2.226;1.170,2.155;2.217,1.170;2.226,1.170;2.217,1.171;2.226,1.171;1.172,2.217;1.172,2.226;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.150;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.226,1.215;0.0,1.211;
1614851473,1614851484|0.0,2.217;1.164,2.217;2.217,1.165;2.226,1.165;1.166,2.217;2.217,1.167;1.168,2.217;2.226,1.168;1.169,2.217;2.217,1.170;2.226,1.170;2.226,1.171;1.172,2.217;1.172,2.226;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.150;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.217,1.215;0.0,1.211;
1614851486,1614851497|0.0,2.212;0.0,2.217;0.0,2.228;1.164,2.217;1.164,2.226;2.217,1.165;2.226,1.165;1.166,2.217;1.166,2.226;2.217,1.167;2.226,1.167;1.168,2.217;2.226,1.168;1.169,2.217;1.169,2.226;2.217,1.170;2.226,1.170;2.226,1.171;1.172,2.217;1.172,2.226;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.150;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.217,1.215;2.226,1.215;0.0,1.211;
1614851500,1614851511|0.0,2.212;1.164,2.217;2.217,1.165;2.226,1.165;1.166,2.217;1.166,2.226;2.217,1.167;2.226,1.167;1.168,2.217;2.226,1.168;1.169,2.217;1.169,2.226;2.217,1.170;2.226,1.170;2.217,1.171;2.226,1.171;1.172,2.217;1.172,2.226;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.150;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.217,1.215;2.226,1.215;0.0,1.211;
1614851514,1614851525|0.0,2.212;0.0,2.217;0.0,2.228;1.164,2.226;2.217,1.165;2.226,1.165;1.166,2.217;1.166,2.226;2.217,1.167;2.226,1.167;1.168,2.217;2.226,1.168;1.169,2.217;1.169,2.226;2.217,1.170;2.226,1.170;2.217,1.171;2.226,1.171;1.172,2.217;1.172,2.226;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.150;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.217,1.215;2.226,1.215;0.0,1.211;
1614851527,1614851538|0.0,2.212;0.0,2.217;1.164,2.153;1.164,2.217;1.164,2.226;2.217,1.165;2.226,1.165;1.166,2.217;1.166,2.226;2.217,1.167;2.226,1.167;1.168,2.217;2.226,1.168;1.169,2.217;1.169,2.226;2.153,1.170;1.170,2.155;2.226,1.170;1.171,2.153;2.217,1.171;2.226,1.171;1.172,2.217;1.172,2.226;2.153,1.173;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.150;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.217,1.215;2.226,1.215;0.0,1.211;
1614851541,1614851552|0.0,2.212;0.0,2.217;0.0,2.228;1.164,2.217;1.164,2.226;2.217,1.165;1.166,2.217;1.166,2.226;2.217,1.167;2.226,1.167;1.168,2.217;2.226,1.168;1.169,2.217;1.169,2.226;2.153,1.170;1.170,2.155;2.226,1.170;1.171,2.153;2.217,1.171;2.226,1.171;1.172,2.226;2.150,1.173;2.153,1.173;2.217,1.173;2.226,1.173;2.148,1.210;2.149,1.210;1.210,2.151;1.210,2.152;1.210,2.153;1.210,2.154;1.210,2.155;1.210,2.218;2.217,1.215;2.226,1.215;0.0,1.211;
