index,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
1,4411.0,3279.0,3129.0,5108.0,4380.0,5808.0,6583.0,4068.0,4727.0,5812.0,4091.0,5032.0,4068.0,6213.0,2955.0,4265.0,5921.0,3565.0,0,
2,2994.0,5159.0,4091.0,6372.0,4422.0,4217.0,7520.0,3685.0,7453.0,4145.0,11575.0,3760.0,3760.0,9505.0,6003.0,5649.0,5319.0,3929.0,0,
3,6587.0,3204.0,3760.0,6965.0,6227.0,3041.0,7084.0,4828.0,4138.0,4928.0,20299.0,5990.0,5616.0,16175.0,7818.0,4251.0,4737.0,4818.0,0,
4,5773.0,3279.0,4334.0,8666.0,4903.0,5693.0,13615.0,2649.0,4782.0,4218.0,36141.0,4742.0,12086.0,22076.0,7755.0,4347.0,6200.0,5013.0,0,
5,8809.0,4452.0,4030.0,9830.0,2948.0,107518.0,12211.0,9591.0,4773.0,100207.0,48612.0,2455.0,23202.0,137501.0,7212.0,8744.0,6265.0,5731.0,0,
6,9419.0,4682.0,5410.0,14230.0,10005.0,8093.0,14952.0,8699.0,4773.0,129180.0,51324.0,5721.0,25217.0,37404.0,9744.0,6208.0,6181.0,7575.0,0,
7,7945.0,6498.0,6146.0,12446.0,8446.0,7139.0,15152.0,7434.0,6127.0,132204.0,60699.0,4164.0,25752.0,49591.0,10545.0,8603.0,5212.0,5309.0,0,
8,8373.0,3704.0,6131.0,14953.0,3941.0,12495.0,18354.0,6678.0,4882.0,124566.0,74894.0,6185.0,25615.0,46451.0,10404.0,9245.0,6733.0,6873.0,0,
9,8000.0,8410.0,7861.0,15349.0,10816.0,4973.0,16335.0,10162.0,6495.0,251629.0,65602.0,3759.0,40745.0,49531.0,12386.0,12335.0,7749.0,6536.0,0,
10,6811.0,4534.0,5069.0,14230.0,16579.0,10998.0,16848.0,12407.0,4295.0,236391.0,74713.0,4197.0,37336.0,46758.0,10769.0,8003.0,7468.0,7357.0,0,
