172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.150,172.20.2.151,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.2.228,172.20.1.211,172.20.2.149,172.20.2.152,172.20.2.174
3500,1552,2164,1900,718,1974,1711,2132,2161,2734,1404,4949,1150,570,1330,1140,1330,1140,1539,74,1273,1915,9847,407,1696,0,0,0
362,1711,2168,1330,947,1524,222,2242,912,3041,2094,7962,2680,2090,760,1140,1330,570,2660,0,2113,765,8789,0,197,2090,570,0
940,1552,1594,3230,2238,2991,951,1591,1404,1552,2734,7375,1340,1900,1330,1140,2090,1330,1330,0,1502,765,10072,0,516,760,1140,0
1730,2281,2094,1327,757,760,2882,1605,3611,1901,2242,8453,2490,570,1520,760,1330,2498,2689,0,1951,1753,11437,0,516,1168,3068,0
1955,222,2087,222,222,1552,187,1591,3420,792,2351,7950,222,760,2074,760,1330,831,1563,0,2006,1498,5896,0,716,2248,2161,0
5097,1524,718,951,2471,1711,1478,1672,760,2471,1672,9260,2296,1900,2660,760,2090,2280,2660,148,2191,1915,8122,407,2251,1900,1330,0
1881,74,2847,5752,1404,1552,2277,2161,1288,982,2921,5831,1562,2090,1520,1330,1330,570,1330,74,3240,1150,10136,0,674,570,570,0
4802,570,792,2242,2284,1141,1524,1524,2351,947,908,7786,956,2090,1900,3420,570,760,760,148,1838,1150,7450,407,2128,1900,1520,0
2029,1445,1711,1591,1974,792,644,2353,7381,2048,1074,8603,797,2660,2090,1140,5749,2090,2714,74,1922,2105,8880,0,600,1520,1330,0
3301,148,222,1524,2432,1141,954,2980,1915,760,4680,6418,2486,570,1675,760,2445,1140,1593,74,1753,1340,6873,407,1654,2090,1900,0
482,1846,381,1974,3293,1362,2122,1783,3651,1330,3478,7380,1725,0,1900,760,5215,2090,1384,74,1587,1340,9371,0,197,2660,2090,0
3648,2627,644,0,4284,2660,1711,1208,2819,2734,3220,8709,1340,1140,1900,1330,4209,2294,1574,74,1199,2105,9185,407,1970,2660,1900,0
1656,1521,1598,1858,1327,2854,1742,4025,2424,1141,5347,8549,0,1330,3575,1330,3731,1140,1954,74,1919,765,10424,0,400,2660,2660,0
1955,1362,570,947,1668,570,947,2808,1734,1742,2501,6638,2137,2090,760,1330,4897,2410,1384,0,1710,575,7460,0,716,1330,1330,0
1988,2222,1710,1478,2281,2847,2238,2313,1740,1711,2838,5495,956,570,1675,2090,2428,570,1900,148,2385,765,7887,407,597,1900,760,0
1881,1594,1327,2351,4369,792,2132,1418,4810,792,3979,7310,2137,1900,1520,1330,8732,1079,1950,74,1749,1915,7310,0,674,2660,0,0
4864,510,2048,2432,3205,1711,2199,3148,2810,381,4093,8298,2296,1330,2660,1330,7356,888,3148,148,2152,1150,7566,407,2528,2660,570,0
4624,1721,5551,1401,4769,1552,2164,2796,5068,1668,3967,5164,797,1900,570,1903,7864,1649,2335,74,1837,765,11035,0,2476,760,570,0
3381,1807,222,1102,3001,1711,764,2208,5008,2277,3550,6788,956,760,3575,2090,9943,1079,1267,74,1718,1150,7305,407,1970,1520,1900,0
222,1276,2281,831,3639,2122,2164,2353,2516,1478,3530,7408,1562,570,1140,1140,4493,2420,2144,74,2144,1725,8523,0,0,1330,1900,0
3626,1807,2882,2094,4144,1141,1293,2971,2494,1330,136589,8453,2486,2090,760,1330,6318,2030,1248,74,103714,1915,8603,407,2202,2660,2660,0
296,3399,1141,1974,4716,222,2317,3766,3934,5943,7741,7610,1562,2395,4870,1104,11083,2156,2306,148,1615,1915,8042,0,0,0,6190,23856
4860,3210,1974,1900,2953,0,3157,3263,3319,6406,7929,7892,2105,319,6382,3777,6905,3648,3357,0,1365,1150,9260,407,2338,1330,5093,20761
1796,2947,1359,1330,2804,1714,1552,1427,6291,5913,7965,6894,1915,1461,4707,346,8959,4927,2062,74,3142,575,8465,0,597,570,2661,17635
4482,3200,134223,1088,5014,1140,1826,2485,4221,5564,6582,8052,575,886,4161,1675,6923,5131,1872,0,103547,2680,8037,0,2012,760,2548,17619
1582,1280,2164,135225,3374,2090,1895,2232,2685,7040,4491,6377,2105,1606,2806,2436,6005,4922,2578,74,103445,0,9596,0,400,2090,1221,17642
1881,2830,5696,261,2195,3304,2087,3709,6752,9018,5117,5319,1562,1330,5052,2264,9102,3079,1980,74,3543,1340,11585,0,600,0,3125,25863
2660,3436,1362,912,7453,951,2808,4812,2908,8051,7516,7781,1721,2090,5064,2435,9401,4867,2302,148,2339,575,9185,407,1071,1900,4644,35760
148,3293,1141,2921,6257,1552,4623,4015,6611,4666,6066,7643,1372,1900,2245,1485,7742,3070,3012,74,3445,1530,11877,0,0,3420,2929,17723
3661,3169,2238,2455,5790,1913,2693,4542,6063,3695,9352,9672,2486,2660,3575,1140,11758,1862,2069,74,2148,765,11437,407,2012,4983,3551,7169
296,1225,1327,2101,4211,3311,1547,4500,6052,11815,5150,10241,2902,3292,3578,3351,6967,4366,2313,148,1534,1530,10444,0,0,5499,6272,41508
4345,1733,1862,834,5955,1141,1524,3288,6587,8276,10039,6643,3061,2048,7098,1675,15961,6414,1673,74,1834,1340,8352,407,1938,1330,2246,26386
2662,2302,1591,1714,3559,74,1119,3027,2850,4675,10120,8965,575,1710,5250,2257,13335,3128,2612,74,1626,1915,7556,0,1187,1330,2420,8747
1881,3123,764,3494,6608,2808,2244,1844,4273,5128,6142,3855,1340,1076,2617,2544,6501,3162,1492,0,1735,2870,9666,0,600,0,660,17573
4372,2843,5408,3002,3547,1330,2237,3046,3706,4184,8570,7460,2680,1647,5051,2090,13063,2352,1797,74,1827,1915,11155,0,2212,1520,3146,8934
