index,172.20.2.197,172.20.1.184,172.20.1.185,172.20.2.205,172.20.1.193,172.20.2.204,172.20.1.194,172.20.2.198,172.20.1.186,172.20.1.187,172.20.2.206,172.20.2.207,172.20.1.195,172.20.1.196,172.20.1.188,172.20.2.199,172.20.2.211,172.20.1.197,172.20.1.198,172.20.2.210,172.20.2.208,172.20.1.189,172.20.2.200,172.20.2.209,172.20.1.200,172.20.2.214,172.20.1.201,172.20.1.191,172.20.2.202,172.20.1.190,172.20.2.201,172.20.1.199,172.20.2.213,172.20.1.192,172.20.2.203,label,target
1,7790,9819,8372,10223,11664,5808,10302,8360,6146,6075,5130,5320,7603,8712,7979,6270,6840,8091,5052,7410,18119,9144,8170,6650,11436,5955,9918,146576,7600,12728,8135,7792,9322,7633,7410,0,
2,7410,8658,8774,8170,6835,6125,6120,8740,8190,143206,6840,10830,6762,7933,8919,6460,5510,143375,6638,5890,8740,5501,8170,7790,4813,5510,13912,4390,9500,6786,7220,11746,7429,7286,7220,0,
3,7600,11054,7824,5935,7183,8785,7901,7410,8770,6874,7070,5320,142723,8235,8844,5320,6460,9334,8802,6650,7030,7328,6650,9690,7215,5510,9260,6832,5890,7781,9120,5772,9158,8918,3230,0,
4,6460,9523,11004,6639,11120,5309,7102,7600,11295,8735,5320,8930,15597,12304,7025,6840,6460,7894,6075,5320,28807,8423,4370,7600,14169,8170,10072,7424,10570,11647,6805,141980,6561,10364,6460,0,
5,8223,7032,8072,11212,10659,9630,12591,5130,11050,9891,10246,10251,11619,16100,7926,5320,9880,9868,20879,6460,28103,9945,8340,15065,10664,7821,11423,12425,8508,9636,6995,7965,11376,8893,11641,0,
6,7573,12293,10447,14312,8946,8855,8563,6080,7897,10177,10103,8452,11084,12079,6117,7600,5510,9000,28584,5320,31074,6909,6650,13491,15507,12142,13465,11120,12838,14382,7881,14528,10078,7933,9842,0,
7,9301,10795,9198,7633,14043,8368,13687,10733,11118,10752,12981,11002,14071,150593,5068,6270,6650,5927,34417,5320,36425,8745,7410,13015,20324,12578,20520,11365,11100,14105,14074,14557,10253,8924,6200,0,
8,8135,7721,145598,7790,13136,10904,8171,10450,7971,7019,12515,11073,17589,16233,9939,9500,5890,21428,31520,9500,44720,8584,7790,16239,19083,13950,19422,22485,15489,16480,16114,17921,11374,8951,6544,0,
9,7421,9451,10227,7911,10080,6838,12977,5890,8204,14693,11534,13434,13906,14230,5955,9149,7790,21646,28108,6270,36173,7930,7803,13998,15482,16088,18787,13271,15533,14690,15930,14893,10694,8891,5957,0,
10,10490,12541,11137,11077,12286,8592,11479,10574,6713,9341,15448,15584,17128,16124,7496,9880,7030,31305,24704,5510,49066,8625,8173,17622,18181,15192,22339,19880,15424,15980,16086,14000,14330,8240,8272,0,
11,10654,12338,12122,11052,15203,6773,12210,7220,14106,11162,12539,14365,17497,15431,6068,7804,7790,21799,26194,4560,59728,4403,5724,16444,23071,19504,24247,20833,10752,18440,19225,15308,17037,8778,8961,0,
