172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.174,172.20.2.175,172.20.2.217,172.20.2.218,172.20.2.226,172.20.2.228,172.20.1.211,172.20.2.212
1752,599,932,1742,1045,857,736,1493,1376,54680,1216,15225,980,1319,331,966,1221,3962,1143,7238,1359,1420,1803,2927,1905,16730,192,2739,0
664,187,1365,405,553,775,526,1046,959,34560,2412,14255,969,1798,0,1957,915,1508,737,2530,2007,0,1092,2133,336,12550,0,1508,0
1187,1080,1782,526,1301,1034,884,1291,1301,1217,970,13130,980,737,1805,737,812,331,1143,331,331,0,0,3181,1494,17870,192,1065,74
1518,737,1696,1696,405,1256,1301,1263,736,930,811,16725,1380,331,1143,1143,1474,812,1068,1399,1474,0,0,2066,411,19585,0,2391,148
881,1330,564,1181,1263,628,885,519,1954,592,1376,13695,860,662,737,1068,737,331,737,1143,1068,0,74,2557,1158,16920,192,1434,74
2947,737,959,885,886,564,519,1066,0,1336,884,14265,820,737,1474,662,406,406,1474,737,1568,0,0,2260,1158,12360,0,5107,148
548,924,850,1256,479,811,810,999,553,1255,233,11975,672,737,737,406,737,331,737,1474,737,0,74,2130,336,12930,0,1434,74
1190,1005,1143,2148,564,857,999,1080,1045,959,554,13125,120,737,1474,406,737,406,1068,1474,406,0,0,3029,1158,15390,0,2724,0
2002,1330,405,1330,479,74,1188,1255,553,74,518,10835,2052,406,662,331,662,737,737,1474,331,0,74,2126,411,14275,0,3603,0
1226,930,857,857,564,1005,405,1336,970,74,737,11780,569,1068,406,1143,406,737,406,1143,1143,0,0,2779,0,11405,192,909,0
1750,593,959,886,1034,850,1045,1465,959,1188,1696,14255,969,1880,737,812,737,1474,0,1474,1162,0,0,2542,411,18060,0,2449,148
481,857,970,1301,857,1291,959,1002,113,1404,857,18250,905,1143,1474,1068,662,1474,812,1143,1597,0,74,2617,822,15210,192,0,74
2802,1622,959,1216,480,1301,850,1291,1474,1005,1365,14830,895,1474,1474,1068,737,1143,331,1068,331,0,0,2288,672,18630,0,4990,148
474,662,639,444,526,1365,1622,811,662,1404,564,11415,785,0,737,1068,737,1068,812,331,737,0,74,2229,1158,15020,0,1434,74
3312,1742,1291,885,850,1263,519,1005,970,554,884,10270,1158,0,737,1805,406,737,406,812,662,0,0,2373,747,17495,0,5368,74
748,2267,1474,1330,885,811,1080,1424,1034,15501,970,11795,821,406,0,662,662,1556,812,2743,845,0,521,4568,1158,16960,0,1807,0
881,1336,857,1005,1181,1594,811,930,564,15560,479,12740,233,730,1143,331,918,1890,1143,737,812,0,929,2659,747,14820,192,792,0
696,1735,1217,886,1203,1661,1263,1330,553,12040,1256,12935,1305,903,1474,1068,1237,844,737,2599,737,0,398,2320,1158,19585,0,1434,148
752,1336,639,1519,233,479,2027,918,639,11519,1188,15775,905,1549,1068,891,812,1656,812,2437,1251,0,398,3114,411,15400,192,260,74
2508,999,222,554,1548,850,233,1228,810,11493,3223,11025,1044,1068,737,954,331,1250,331,1237,1676,0,398,2320,336,14260,0,4202,148
