172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.174,172.20.2.175,172.20.2.217,172.20.2.218,172.20.2.226,172.20.2.228,172.20.1.211,172.20.2.212
3005,912,1714,3002,3553,1524,1214,1888,2545,13666,2048,8463,1721,1943,570,1701,2019,7854,2090,2681,2578,20811,23964,2039,3445,9260,407,1271,0
1582,261,2312,644,792,1327,954,1554,1552,6910,1659,7962,1562,3368,0,4889,2018,3075,1330,4562,3113,0,26419,1837,575,6974,0,516,0
1405,1862,2661,954,2281,1742,1362,2238,2281,2164,1711,7721,1721,570,3230,1330,1520,570,2090,570,570,0,0,2293,2680,10147,407,632,74
2613,1330,2882,2882,644,2277,2281,2284,1214,1482,1974,9255,2327,570,2090,2090,2660,1520,1900,2470,2660,0,0,1696,765,10589,0,1296,148
1774,2351,951,2087,2284,982,1478,947,3494,905,2471,7641,1527,1140,1330,1900,1330,570,1330,2090,1900,0,74,1743,2105,9335,407,400,74
5329,1330,1552,1672,1594,951,1021,1949,0,2242,1362,8197,1298,1330,2660,1140,760,760,2090,1330,2299,0,0,1622,2105,6899,0,2725,148
1582,1591,1517,2277,718,1404,1288,1781,792,2161,381,6232,1150,1330,1330,760,1330,570,1330,2660,2090,0,74,1612,575,7230,0,400,74
2798,1672,2090,3762,951,1672,1781,1862,1901,1552,908,7866,194,1330,1520,760,1330,760,1900,2660,760,0,0,2141,2105,8407,0,1116,0
3751,2351,644,2351,718,74,2094,2161,1552,74,831,5751,3477,760,1710,570,1140,1330,1330,2660,570,0,74,1756,765,7576,0,1854,0
1175,1482,1524,1524,951,1672,644,2242,1711,74,1330,6452,956,1900,760,2090,760,1330,760,2090,2090,0,0,1965,0,6413,407,745,0
2745,1021,1552,1594,1742,2277,1901,2702,1552,2094,2882,8262,1562,2660,1330,1520,1330,2660,0,2660,1539,0,0,2098,765,9485,0,1454,148
266,1524,1711,2281,1524,2238,1552,1527,187,2425,1524,10072,1531,2090,2660,1900,1140,2660,1520,2090,2851,0,74,1803,1530,8448,407,0,74
5212,2808,1552,2048,834,2281,1517,2238,2854,1672,1552,8298,1488,2660,2660,1900,1330,2090,570,1900,570,0,0,1798,1150,10734,0,2580,148
1508,1140,1141,757,954,2312,3002,1404,1140,2425,1711,6648,1337,0,1330,1330,1330,1900,1520,570,1330,0,74,1443,2105,7967,0,400,74
5516,3002,2238,1478,1517,2854,947,1672,1711,908,1362,6312,2105,0,1330,2090,760,1330,760,1520,1140,0,0,1855,1340,9340,407,2757,74
1881,3914,2090,2351,1478,834,1862,1509,1742,5672,1711,6242,1414,760,0,1710,1140,2747,1520,2228,1574,0,11718,3304,2105,10734,0,600,0
1058,2242,1524,1672,2087,2854,1404,1482,1711,3661,718,7049,381,952,2090,570,1674,3997,2090,1330,1520,0,12000,1919,1340,7882,407,400,0
1730,2921,2164,1594,3037,2921,2284,2351,792,3199,2277,7235,2137,1702,2660,1900,2245,1465,1330,1230,1330,0,8801,1950,2105,10814,0,400,148
600,2242,1141,2664,381,1288,4022,1210,1141,2606,2094,9405,1531,2090,1900,2205,1520,2420,1520,3566,2334,0,8738,2226,765,7967,407,197,74
