172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.164,172.20.2.228
2876,564,405,884,775,331,970,1142,406,553,857,11600,747,812,737,737,737,1068,737,1068,662,74,1809,747,11790,4893,0,0
548,959,857,812,1068,526,884,1587,959,1119,1143,11790,747,812,737,737,331,737,0,737,737,74,1696,822,16350,1508,74,0
2466,1301,1215,850,1142,518,1256,885,1376,1034,479,11220,1015,737,1068,737,406,406,1068,737,406,74,2701,672,16350,4182,0,0
481,1216,1301,1143,857,674,810,850,1034,564,444,11410,859,662,406,406,406,737,1474,1068,406,74,2451,747,14260,0,0,192
1644,737,885,233,1290,187,406,1005,564,1216,222,10840,1015,331,0,1068,331,406,737,1399,1068,74,2521,747,9700,2391,0,0
1187,526,1661,1365,639,930,857,1208,222,1143,1301,11220,187,662,737,1399,406,1068,662,331,756,148,2719,747,15010,917,0,192
819,628,1216,1301,959,1330,885,1249,1188,27706,1696,13115,1090,1124,662,406,906,2781,662,2743,1582,74,2750,411,16730,1648,1450,0
1629,1707,736,553,1463,331,895,405,850,16110,564,12740,747,1863,737,737,169,1149,1474,1143,406,74,2451,747,14640,2576,874,192
622,959,451,639,810,331,884,695,406,22419,2486,12170,1494,984,1143,1210,1312,1431,1068,3829,108,148,1890,747,10850,1434,796,0
2286,1045,74,1291,850,662,970,1461,2355,22527,857,15210,747,1328,1143,894,906,1175,1474,2937,845,0,4318,747,15444,4198,870,0
1429,222,233,1142,1056,930,1291,2040,1290,23119,2194,14450,1270,1328,1474,879,500,1913,737,4330,2007,148,2821,672,15595,2203,1092,192
1957,1106,1696,1143,1217,999,850,554,1044,11277,148,13322,1762,1403,331,737,906,1919,737,1658,737,0,2320,747,16740,2811,620,0
955,406,970,1290,958,268,1143,1197,1142,30712,2314,15035,1345,737,1143,2022,500,1102,406,4874,1057,148,2638,1830,13315,814,1500,192
2308,1068,1622,1301,884,924,480,1890,1742,39883,2965,9320,1426,737,406,879,570,2056,406,2531,1189,74,2260,747,17875,3867,1412,0
1481,1263,519,628,881,930,120,1783,811,41046,1301,10460,187,737,662,635,976,1800,406,4545,1011,74,2645,822,11780,2576,1360,192
945,959,599,639,959,850,884,1026,1216,28303,959,10070,866,1025,737,1143,578,2047,331,2743,845,74,2676,0,11980,1947,1450,0
696,895,886,553,1500,480,564,1866,850,38120,2863,13690,1157,1403,662,1285,744,2325,1068,4262,1176,74,2292,672,15785,1460,1670,0
4636,1696,1263,639,1336,1805,1034,1101,884,23224,1142,12935,1158,1537,1068,635,575,1507,737,2243,845,74,2306,1158,20725,7718,870,0
1541,970,959,662,1461,924,444,798,233,23207,2560,15020,940,1798,1143,1691,1240,696,812,4195,1251,0,2440,747,13136,2272,1342,0
881,1529,970,1143,2000,1005,1336,1960,2336,33396,2931,11595,1270,1746,406,1588,575,949,4177,3963,1486,74,2645,336,21279,773,1388,192
2325,1135,148,970,959,924,812,2399,3211,12826,2634,12925,268,1072,1143,1021,1068,919,5253,1712,953,74,2260,411,15200,4515,546,0
1355,737,850,222,1186,1336,120,1499,852,30384,4326,13310,1345,1474,737,954,1866,1253,3028,4909,164,74,2638,747,12555,2075,1499,192
822,2378,1622,1376,2244,187,1217,2559,1505,40958,4789,13505,679,1143,662,2022,239,1798,4563,4578,966,148,2482,1083,19195,1811,1559,0
1029,1928,924,222,1924,554,3494,1874,1518,41058,4820,11415,410,812,406,954,1382,1392,4862,4169,1100,74,4847,1008,15620,1434,1360,192
1338,2081,4256,1376,1101,1594,959,2094,2136,38056,5029,14640,860,1466,812,1056,1456,3864,6221,5639,1169,148,2560,672,18196,2724,2244,0
2389,1266,405,959,2382,331,1701,1859,2012,25749,4897,9510,672,1013,737,1703,169,1408,8556,2633,1169,0,2144,747,11600,3817,1272,0
955,553,970,1068,1053,1817,729,1437,2038,22478,4140,15965,187,1796,1880,2526,906,770,4712,4317,1479,74,2479,411,15960,769,1018,192
1802,1181,5655,1143,966,1330,1295,2117,1643,22276,4734,12930,679,1131,737,1689,1294,1369,5480,4294,1690,74,2503,822,21809,3023,1166,0
997,1571,1301,810,1101,1336,737,1641,2826,23334,3051,14270,934,1612,1399,560,555,696,5179,4994,1453,74,2571,1494,17680,843,1092,192
2557,2158,1622,895,1507,924,736,1587,2162,23619,3136,11800,1351,1465,737,551,981,1101,4106,3888,953,148,2602,1494,16355,4412,1166,0
1503,341,850,1365,2168,1411,857,2884,1885,52627,5482,15975,1270,1798,1218,1616,1774,3154,5616,7036,875,74,2793,1083,18635,2203,2748,192
822,628,1291,970,628,1330,628,1514,1339,40104,3859,11785,1015,737,1068,1616,1051,1648,2164,2592,1025,148,2887,411,14450,1807,990,0
622,1845,811,797,1924,944,985,1711,102748,10182,2880,15699,1083,737,5816,331,1143,996,3434,3008,1582,74,133811,822,17495,1434,720,0
474,916,1263,970,1839,1143,553,1245,2192,15379,3903,13310,336,714,331,1143,737,2293,6652,4418,730,74,2112,747,12165,843,855,0
1454,1425,479,662,635,1142,701,2502,2857,16125,6542,12735,1568,1068,331,1056,831,1890,10493,1474,1009,0,1689,411,15790,2317,874,0
955,3368,1045,480,1652,674,1700,2126,2289,11701,9494,9690,1009,757,331,1604,406,1250,12201,3615,1297,74,5376,0,14130,769,398,192
2286,1538,1365,737,3148,924,588,2617,1963,33857,4996,10650,1762,1162,331,1619,1075,953,6488,6843,1464,148,1678,672,18450,4301,1638,0
1471,1346,850,1459,2407,1212,1385,2362,3651,33125,7430,17371,523,682,7397,1615,1998,1284,9145,6888,1260,74,2638,1494,16155,2277,1564,192
1093,2058,479,1707,2473,924,1142,2488,4721,12075,7810,10645,268,1059,737,549,331,1250,12675,3344,838,148,2401,336,17290,2021,546,0
2483,950,1181,1365,1747,1411,2205,2342,1232,11914,5930,13875,1270,1399,1143,1616,1697,1071,8550,3327,411,74,3174,411,18445,3928,398,192
822,1246,526,1376,2066,737,1652,1988,1674,22538,7063,13875,1083,331,1143,1462,901,899,11183,4615,1628,148,2373,411,15405,1881,953,0
1486,674,3790,1365,991,406,895,2212,746,20441,1975,14450,747,406,1068,406,1140,2148,4560,4352,953,0,2412,672,14724,2523,606,0
442,1976,4829,519,1591,1068,1034,3011,3939,29752,8657,10455,1158,1143,331,867,570,2081,12660,5650,1368,0,1541,336,17825,814,1622,0
2002,1226,1440,1188,1360,924,444,1662,1563,29625,2872,10470,1015,1037,0,331,500,2375,4905,4118,1690,74,2863,1494,15970,4005,1524,0
1587,1482,233,662,3349,1005,661,2849,2438,22098,7059,13490,1270,1059,812,1210,906,1914,12565,6035,2070,74,2303,0,13885,2425,796,192
2479,406,1291,1707,1519,1330,1248,2397,1269,11370,7824,14455,1090,662,331,2857,1068,1326,8827,1775,819,148,2214,1083,16730,4124,398,0
1029,1973,519,628,2487,1411,1116,1780,1888,11949,5514,11795,934,1561,662,319,575,1326,7958,3328,1709,74,2712,1083,18076,1508,472,192
1093,1551,1291,1214,769,1868,1304,2575,2659,12202,5292,12761,1015,682,6527,662,906,1251,5402,3325,547,148,2549,336,18234,1947,398,0
555,2324,1217,1696,2803,480,1376,2428,3512,11110,4526,11081,822,1419,0,1068,575,1657,10125,5034,1009,0,2532,336,20910,0,472,192
474,2087,564,1301,3415,1262,1577,2441,2544,12108,7189,10409,523,737,1068,1283,0,183,11428,3011,1539,74,5598,1158,20558,769,620,0
2170,1518,1473,1365,2108,331,970,1961,3983,12493,3438,13495,1158,1328,1474,1297,554,1402,7489,906,1176,0,1964,411,20345,4478,398,0
1355,2769,233,812,1285,599,885,2778,4312,23274,7343,10835,523,331,662,1793,645,1975,11046,3299,2164,74,4727,336,18317,2303,954,192
2705,1994,1290,662,2377,1661,850,2281,3800,62353,11557,14070,1015,406,1143,2152,1713,1816,15731,7399,1346,148,1978,672,16920,4486,2188,0
1029,1218,564,1311,2427,1543,1995,3911,2877,24801,7956,15816,934,1399,4986,724,169,2221,13812,5312,2193,74,2331,822,14640,1508,1241,192
2276,1235,1622,1707,1929,924,992,3295,1989,14695,9719,10650,1762,617,737,1891,812,1480,14675,4418,1241,148,2447,1158,17690,4198,929,0
629,489,850,1365,2265,1667,2137,3032,2127,36502,10084,14080,934,984,1805,1679,1737,1183,13577,5885,1644,74,3061,1494,16350,0,1670,192
787,2458,599,1950,2662,725,567,1846,2407,12119,6947,14140,1351,737,5836,725,575,1250,10539,5050,1798,0,3261,336,11605,983,398,0
822,1247,736,1216,2037,1143,970,2286,3975,21184,6999,10270,747,1281,737,1285,500,770,11812,3808,1061,74,2158,822,14830,1815,796,0
874,1010,1188,1181,1886,406,756,3578,3290,11942,11524,10059,672,984,0,1273,1068,622,18216,4989,2008,0,1622,822,12550,2203,398,0
2434,1431,811,194,1322,1142,1754,2359,3205,11224,9889,16180,1158,1899,1143,1273,1143,1250,15979,4944,1794,74,1668,822,11415,4684,546,0
955,1165,4416,1055,2667,1212,1742,3124,2367,19608,9263,16234,859,406,5488,2123,1560,548,11910,5296,2492,74,2518,747,18009,1434,953,192
2715,1319,1290,526,2033,518,850,3106,6839,33660,8987,11790,268,1068,737,2525,951,1587,18050,4223,1110,148,2246,822,14060,5194,1425,0
3927,1900,519,1290,2673,1005,1143,2790,3361,40160,10126,17880,1345,1143,1399,2267,1386,1671,15752,6605,1241,74,2331,1494,15975,6280,1508,192
1770,741,3131,895,2174,1330,1217,2380,1015,29800,7726,12360,1351,737,406,1616,906,2152,10597,5865,1808,74,2926,672,15401,3160,1548,0
555,1624,1256,1290,2227,1742,1322,3154,3071,27992,114185,11595,2579,646,406,1782,1055,2709,18256,5431,1389,74,137211,0,14823,0,1803,192
1303,1246,1336,1256,2147,1587,1459,106267,3025,23444,12330,12745,268,2046,1143,1935,500,1101,20205,5621,1188,0,134143,1494,17860,2588,796,0
822,1585,4465,810,1507,405,2250,3603,4726,11747,10054,11600,1271,812,331,1616,575,771,17960,3754,1749,74,2493,747,15974,1807,398,0
916,2012,857,1019,2405,944,1832,4022,3530,22043,7793,15502,1642,922,5848,2454,1643,1432,11986,6899,1582,0,1770,1494,19780,2248,1092,0
2244,1908,4938,120,1848,1473,1432,3423,2906,22902,10128,16735,1271,1798,737,1252,1150,1946,13012,4982,1680,148,2077,1083,21609,4182,1018,0
1029,1436,639,1216,1222,1336,1336,2779,3875,50597,6103,16535,969,1403,662,737,1312,2069,10155,5319,1892,74,2902,764,16350,1434,1149,192
1715,1670,553,1188,2487,924,925,3185,3165,74409,13574,13500,1316,1021,1068,3576,2476,3989,16322,10233,2152,148,2620,1158,13505,2429,4672,0
1303,2100,639,959,4360,1005,993,2915,4193,33074,14208,7985,746,1206,662,1184,575,1320,13176,8097,1863,74,1802,0,14830,1807,1624,192
2234,1741,885,733,1616,394,1917,2577,2329,76930,6084,11861,1203,2049,5529,1789,1906,3340,12359,12488,1054,74,2373,747,10465,3189,4386,0
1155,619,1181,1290,2506,599,1846,2832,2845,44398,9645,12735,410,702,737,2147,1481,1797,12995,8231,2123,148,2800,411,14635,1881,2036,192
1219,849,1336,925,2441,1330,1567,1852,2546,21743,7704,10650,940,1059,737,1285,906,1102,8444,4311,1173,0,5252,747,17296,2394,1018,0
748,103092,1217,960,2175,737,1248,2703,3641,30242,8650,12930,449,1100,1068,1360,960,825,13821,6722,1676,74,133635,747,13495,1807,1500,0
1145,1503,4453,1350,3003,1350,894,2753,2068,82316,10146,10753,820,1537,6688,3536,1553,2844,7112,8667,1074,74,2144,0,20585,1508,2762,192
2760,1567,1548,1336,1130,737,568,1885,3252,73152,6041,13325,860,1355,812,2045,913,4163,6878,6957,875,148,1929,1830,16584,5379,3453,0
629,1613,970,811,1905,674,413,2463,3886,42855,8305,12175,558,1390,662,1427,1481,1876,11044,7102,1152,74,2366,1083,12593,0,1402,192
2557,1400,959,1594,2250,924,628,2082,3486,31564,10332,11795,980,0,737,1271,979,2230,11210,6232,1169,74,2592,1158,13282,4615,930,0
555,1699,850,3246,2803,1336,164,3188,3104,58113,9687,13306,410,1100,2770,1273,1481,3002,15670,10271,1914,74,4279,1494,12965,0,2394,192
2560,1078,599,1188,2709,1661,342,2542,3153,23094,10753,11220,120,1088,406,867,1237,1102,14557,6294,1631,74,2299,747,13300,4819,1018,0
955,2562,850,1548,3725,2073,2160,3021,2928,22103,11490,13685,934,1403,662,2045,1643,1103,19349,7597,1916,74,2987,411,17300,1434,944,192
945,1275,4207,737,2108,519,472,3188,2144,41945,7804,15405,679,1618,406,2238,2697,1777,9262,5781,2234,0,2708,1083,16086,1947,1897,0
1096,2044,1548,479,3885,74,1021,3190,4587,66175,13097,15210,1196,1206,331,2787,1314,2675,18479,9775,2558,74,2937,747,15975,2277,2887,0
748,1319,969,613,2787,1275,1250,3108,5081,174128,12314,13844,1306,615,5395,2239,1145,3107,16338,10107,1497,74,133231,411,16901,1833,2392,0
1622,1295,4508,1005,1325,74,614,3671,4794,54797,13105,12740,785,1072,662,2008,1368,2718,18503,7816,1339,74,2253,411,13653,3218,2020,0
555,1888,970,1255,3534,599,87,3117,4571,38807,8424,12175,1305,1015,812,2022,1143,3505,12941,6135,1296,74,2525,1419,15182,0,2645,192
3063,2638,1290,1174,2876,397,785,4137,4411,103421,11973,14396,531,1638,6207,2467,2643,4339,16170,12352,1729,74,2207,411,12735,5050,4266,0
1029,2304,850,1330,2564,2503,482,4392,2522,47272,13931,14065,821,1585,0,2616,1406,2534,18113,8926,2063,148,4854,411,14660,1434,2290,192
748,1597,960,1263,2985,811,442,2807,2777,55578,11438,12735,1128,2017,662,2713,1319,1550,13993,8696,1202,0,2253,411,18449,1807,2656,0
1397,2676,1548,737,2289,451,342,2294,4004,21651,10627,9505,187,1059,0,2344,575,1102,15127,5928,943,74,2578,411,11222,2277,1240,192
1019,1672,1188,1256,1919,1512,1170,3047,3075,21550,8539,14478,559,1796,1068,1681,1035,2142,12053,5925,1650,74,2472,672,16123,1928,944,0
2160,1718,1290,1622,2289,810,1233,2885,3065,53743,13816,11605,860,1494,406,2151,1145,1320,18549,7465,1323,74,2105,1083,17462,2983,1883,0
148,1649,564,518,2995,639,1430,4342,3655,41457,14997,15572,633,1399,737,1998,901,2229,19763,8140,1888,74,2712,1494,13305,0,1328,0
2718,2282,7828,1005,2893,959,1539,3985,3761,64558,15223,16155,980,737,1143,2592,2337,2734,20235,12285,2279,74,2401,336,22920,5041,2504,0
1229,1563,4747,924,3392,1301,1394,3286,5334,70114,10049,10645,485,1098,1143,1198,1239,3656,20156,9972,1817,148,2691,336,17774,2051,2719,192
3034,1172,479,1005,2236,884,1354,3808,3338,63287,9759,9885,1203,1253,662,2164,338,2592,18210,10965,2649,0,2020,411,13315,5165,2422,0
1071,2310,1587,1386,3054,1064,1818,3726,4441,46839,10996,15926,821,1787,5394,1284,675,2486,14689,10540,1457,148,2652,1083,19960,1508,2142,192
674,2095,331,812,2248,405,1365,2016,5296,32730,15055,14265,604,925,1068,2889,1075,880,19613,7567,871,0,1985,1158,13875,1881,1490,0
516,1861,480,885,4465,479,1301,2694,3616,44807,12105,9912,524,2265,557,3072,669,1788,15304,9045,1791,74,2493,0,13875,843,2184,0
74,1992,970,444,1655,925,628,3446,4021,44414,13763,16930,820,997,1143,2488,868,1899,14470,7672,2272,74,2183,1494,15210,0,1897,0
2834,1961,2433,1005,2796,1365,937,2424,2936,30534,9477,14260,113,1143,737,1604,1713,2633,13608,5888,1310,74,2475,747,13680,4819,1004,0
1261,1472,1301,924,3606,1301,1540,4970,4268,52045,14910,11595,1380,728,812,1593,1535,1831,21074,11207,1730,148,2719,336,19015,1582,1957,192
2644,1109,4942,1411,3718,222,1053,5019,3371,71338,12008,15785,1614,2089,1474,2782,739,3715,17567,8270,2073,74,2207,1083,20915,4671,3656,0
1029,1188,4912,1093,2057,1252,1500,6328,3920,73875,9814,12848,896,1494,6867,1501,647,3607,15507,7730,1522,74,4893,1494,18998,1434,3426,192
945,2053,3768,1263,1473,811,1652,3034,5251,74056,12294,12360,942,2443,737,2240,2000,3899,15908,6837,1915,0,2031,822,17493,2067,3518,0
881,1356,1622,812,2101,944,2233,2500,3239,93875,7371,16162,1129,2456,1719,2467,1413,4109,8939,11635,1126,0,2937,1158,17110,769,4413,192
3098,2306,102139,1019,3225,1301,1290,3265,3993,44297,13250,18211,94992,2220,5733,2225,1075,1774,16299,8460,1460,148,196239,411,17110,4772,1888,0
2402,2229,885,1336,3612,148,233,2693,3493,66632,13665,11800,598,779,406,3052,1007,2216,15766,13612,1385,74,2669,1419,12355,4893,3054,0
622,3670,1256,593,4036,564,1067,5329,5041,104960,18446,12365,1015,851,406,2368,1699,3508,25645,16571,2933,148,2638,1083,15210,1434,3804,0
3031,2459,3999,1336,3825,628,1101,3760,4489,51001,16202,14840,113,1715,1549,2225,1244,2163,22300,9698,1729,74,2140,1494,20870,5136,2358,0
1029,2607,1661,1330,3117,1045,1288,4306,4261,93736,14714,13875,672,1897,812,4608,1873,4483,20354,12044,2200,148,2564,336,17110,1434,4644,192
2012,1501,3745,599,2547,884,1175,4261,3965,84197,12844,11985,456,1151,737,2050,1953,3397,18947,11703,1877,0,1953,1083,13066,3976,2878,0
881,1358,1586,1792,3058,1395,2019,4232,4736,116251,12860,15979,410,1867,5899,2456,1954,4824,17606,13222,2174,0,2800,1494,15965,769,5045,192
419,944,1594,1143,3404,1217,1355,4144,4046,96038,11159,12545,1351,1484,331,2953,1557,3701,15656,12877,2445,148,2031,411,17685,140,3549,0
1148,2672,886,695,2052,1681,1904,3815,4221,93675,13550,16821,1345,1741,5603,2800,1628,3042,17142,10955,2027,74,2465,747,16735,2650,3507,0
1029,2583,1188,1256,2887,1781,1696,4521,5264,109543,9634,12740,1351,1346,737,1429,2307,4556,16767,12297,2004,148,2969,747,21295,1434,4360,192
2486,1873,960,599,3767,102436,1256,3681,4521,72036,12851,11975,1345,1557,406,2010,1169,3587,19230,15260,2007,74,133722,336,14075,4848,3431,0
1029,2972,1181,1255,1656,1992,74,3030,3012,69525,9110,12355,559,1604,1143,2604,1244,2036,12810,10357,1810,148,2056,411,16345,1434,3012,192
2705,1453,1005,1411,3446,1005,1575,3929,2709,76163,16335,15595,1203,2357,1143,3259,1852,2287,23431,14574,1830,74,2253,1158,15595,4190,3649,0
923,2176,4128,849,3661,1181,1853,3732,3388,148114,11768,11790,524,1868,1068,2278,2152,5117,14114,15718,1789,0,2081,747,22851,785,6261,192
1886,1508,4085,1188,2249,1474,1862,4931,5223,55457,16937,12935,1614,1660,1068,3194,838,2138,21601,9387,1814,0,2038,1083,23559,3899,2508,0
881,997,1548,1311,3311,944,1882,4865,4443,73634,11573,16257,934,997,5669,2238,2159,2384,15104,10250,2571,0,2345,411,19200,769,3322,192
745,2569,564,1399,1689,886,1173,4856,6000,83511,14556,13500,268,1206,1143,2638,1151,2430,20780,9843,2386,148,2366,672,15960,1574,3332,0
1412,2269,3223,723,2655,1949,1391,2682,3381,93246,11700,14809,1009,1410,5250,3355,1869,2979,10683,12534,1303,74,2567,747,16294,2654,3530,0
622,1716,3664,849,2358,1330,1696,4740,7523,97020,11172,10275,1762,1430,737,2450,1444,4587,19260,11478,1152,148,2860,1158,22768,1434,4990,0
2434,2747,479,599,2780,1411,1181,3996,4238,82433,13750,14075,785,2011,1143,2149,777,4149,20557,13451,2063,74,2595,1158,15210,4272,3951,0
955,2219,925,924,4032,1255,737,3816,4513,84822,16248,10835,895,1348,1068,3326,1314,3065,20899,12995,1450,74,2331,336,14450,1508,3396,192
1641,2034,599,1505,4102,1498,2057,4661,4717,88810,16251,15228,1083,2060,6097,3445,1836,3573,22740,14414,2269,0,1872,747,14455,2441,4073,0
881,1819,593,1142,4356,1143,1390,4175,4105,55186,15634,13125,821,1306,1474,1819,1169,1987,22224,12203,1968,0,2334,1083,15400,843,2360,192
548,840,451,1594,105591,406,1294,5004,3927,66455,16750,11595,1426,1339,406,2700,1000,2034,20040,10060,2193,148,133762,411,12745,1438,2582,0
1555,3734,553,737,3368,782,1690,3484,6209,33224,13591,15780,1009,1825,737,2592,1298,1921,24648,6442,2207,74,2606,747,16730,2576,2300,192
819,1145,2867,925,3545,593,1632,5425,4784,121379,11049,12350,1015,1734,737,2391,1717,2976,20145,16071,3116,148,2599,0,15164,1574,4751,0
2466,2874,885,1216,3620,268,1151,3574,4846,72012,18007,11020,1606,331,406,2876,1922,1552,23849,9961,1680,74,2595,0,16550,4272,2563,0
955,2854,4993,593,1899,187,960,4426,6241,48470,15830,12940,1762,1346,331,1615,1476,3332,24535,7013,1059,74,2705,1494,19782,1508,1500,192
1602,2166,554,1005,3230,1005,1474,3661,3456,85345,14511,17337,1196,1506,1474,2352,2204,5384,19523,11851,1490,0,2105,1083,18065,2803,3648,0
881,2259,3923,518,3162,1256,857,3065,3087,31419,12443,13500,1083,728,1068,2009,744,1621,17581,8461,2194,0,2109,747,17878,814,1664,192
2441,2866,1080,1188,4702,737,1905,4874,4608,71036,20668,9505,867,1300,737,2773,841,2881,23071,11998,1948,74,2010,336,15210,4293,3363,0
1661,1272,811,1215,4041,1291,2280,4095,4187,54498,16955,15215,1009,1922,812,3075,1575,1651,24996,12418,2790,74,2521,1083,16540,2351,2434,192
822,1384,1376,737,3088,1548,1440,4294,3165,96985,15226,13500,1015,1548,1143,3800,1061,2422,19389,14511,2617,148,2673,747,15400,1881,4627,0
622,2166,4358,2197,3936,1949,1680,3859,7932,64550,15216,20204,598,1059,6821,2239,2223,3446,24871,9733,2456,74,2447,747,20371,1434,2652,0
148,2169,850,187,3089,849,2083,4229,6429,111934,16347,12165,940,1135,1805,4512,1124,3000,22423,13467,2610,74,2934,336,13500,0,4905,0
2360,3161,4691,1911,2744,1212,1041,4314,4306,71356,19511,14945,524,609,6690,3119,1981,3213,23270,9362,2702,148,2447,747,17113,4272,3295,0
1071,3452,4073,1018,4182,725,1484,5405,8105,123407,18570,11566,894,2094,4176,3031,1399,4888,28794,17020,2034,0,2359,672,17088,917,6315,192
2160,2158,1080,1411,3161,885,811,3919,3966,109989,13773,13505,411,1600,737,2823,1963,4748,17836,16733,1342,74,1805,1083,15965,4359,4816,0
